ORF,Ca,Cd,Co,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,P,S,Zn
YAL002W,3.713319332,3.626679619,0.202072858,0.31828113,-0.63479082,-1.471259614,-0.459466505,2.537841232,-1.165577982,1.234084543,-1.083392698,0.711788706,-0.868954095,0.122749107
YAL004W,-0.726405784,0.408669922,0.487718535,-0.61874416,0.265451793,0.431353146,1.010605231,-0.851773834,0.199366835,-0.071644313,0.351823601,0.643861171,0.208440163,-0.204439387
YAL005C,-0.308008885,0.026010046,0.19335265,0.535513395,-1.122504793,0.667060572,0.635655046,-0.368328316,-0.268640573,0.54496535,0.333883915,0.278822164,-0.18968254,-0.33052833
YAL007C,-0.435947136,-0.09601215,-0.362035122,-0.20762124,0.46770378,0.524995544,-0.077667139,0.266149231,0.589733752,0.023135295,-0.168553957,0.282657889,-0.272790771,-0.119157355
YAL008W,-0.63196781,-0.226443197,-0.24879362,-0.748179057,-0.66342168,0.048359226,-0.016581804,-0.20206039,0.069033073,0.178986223,-0.157656817,-0.124839141,-0.425557906,-0.317611095
YAL009W,-0.670579722,0.313938947,-0.053590465,-0.398961495,-1.157324265,-0.01357586,0.258426564,0.10967043,1.239498581,0.375615203,-0.21590323,0.164718983,0.188113464,-0.495809738
YAL010C,1.388139372,0.720316762,1.084244417,1.320235081,0.566887414,-0.570578615,0.505117171,-0.659388612,-4.081726261,-0.789913614,0.756540738,-0.615344131,0.178431047,0.884242397
YAL011W,0.712707175,0.293404863,-0.100733692,-0.369519556,0.149748824,0.678427968,1.924742726,-1.04947421,-0.431375783,1.160599177,-0.123569473,1.636305249,0.539535012,1.077789186
YAL013W,1.603025239,1.575530885,1.125453738,0.732515019,-0.153816676,-0.274514532,-0.69845843,1.707425057,-0.488207562,-0.669722309,0.40547961,-0.154695495,0.264041127,0.756005357
YAL014C,-0.555232438,0.725112458,0.151600314,-0.676040431,-1.537055197,-0.379251673,0.582729431,-0.268422535,-0.020112069,0.090321417,0.008050171,0.370512262,-0.080904032,-0.483384821
YAL015C,-0.588758068,0.277459318,0.183894928,-0.192247489,-0.084617836,0.212199787,0.452703875,0.074282963,0.648972768,-0.038820979,0.344934454,0.408385136,0.088430854,-0.246399957
YAL016C-B,-0.268264272,0.032337867,-0.373573174,0.17925461,-0.720427283,0.286839161,-0.148144605,0.312643777,-0.502884722,0.104956585,-0.197094694,-0.237665946,0.101842644,-0.959314942
YAL016W,2.102027263,2.229495481,-24.80277437,2.252283964,-0.91669076,-4.628943336,-9.737322779,5.583329876,-3.04137157,2.100907625,-3.210870817,-6.285022804,-2.70229219,-9.08617208
YAL017W,-0.74712795,-0.098479595,-0.044955788,-1.020257409,-0.230269464,0.229459734,0.259921585,-0.47395401,0.686613941,0.511791918,0.118078571,0.119038261,-0.259228975,-0.201578153
YAL018C,-0.623877442,-0.128585021,0.074450228,-0.166859703,0.028806335,0.089786081,0.512715272,-0.166414655,0.182394212,0.455051206,0.008720495,0.574024292,-0.042404185,0.233002358
YAL019W,-0.513258467,-0.169849349,-0.346011837,-0.006124334,-0.851062384,0.083113311,-0.283020742,0.124392166,-0.735277138,0.653581763,-0.044400516,-0.396059986,-0.344807547,-0.619421807
YAL020C,-0.623000085,-0.141667297,0.168270568,0.147823621,-0.61094381,0.295226881,-0.896986467,0.486515795,-0.561362545,-2.469884724,-0.099074449,-1.0989368,-0.014309491,-0.399904213
YAL021C,2.35424819,2.57052911,0.657256349,0.623005186,0.116341288,0.832562149,-0.774858254,1.455960423,-0.113008174,-5.473622976,-0.477960112,-0.565331587,-0.200589894,0.621477907
YAL022C,-0.613406684,-0.451316766,0.105994776,0.117146206,-1.486779732,-0.647654544,0.214889769,-1.032689913,-0.762113355,0.574279619,0.171296189,0.238293358,0.135852151,-0.116294206
YAL023C,0.057504989,-0.700270155,-1.427673956,0.726736761,0.378226426,1.566232294,-2.525846282,1.254247071,-0.555538174,1.427077342,-1.581926285,-0.50109583,-0.080669233,0.131481534
YAL024C,-3.75097782,-0.090044582,0.19417874,-0.203355248,0.036964017,0.118230876,-0.136490072,-0.117731753,-0.23202195,0.269483609,-0.098928183,-0.018727666,-0.430727084,-0.186254318
YAL026C,1.191962957,-0.452403931,-3.775338801,0.372337336,0.072303388,-0.990036374,-2.389030187,0.486990933,-0.751019544,-0.344700206,-1.310907577,-2.101147171,0.229547438,0.55074295
YAL027W,0.548706659,1.696523463,0.508945539,0.862806309,0.221115565,-0.187896091,0.307386185,0.932521711,0.746693677,-1.244807656,0.456491561,0.495892792,0.684740296,0.209939573
YAL028W,0.302823669,1.179797062,0.341941135,0.159930651,0.313624946,-0.389250966,-0.088869755,0.63532253,0.801757589,-1.352461649,0.393287713,0.123737295,0.513673805,-0.382856759
YAL029C,-0.02813543,0.026748461,-0.126278942,-0.176277073,0.366023089,-0.263832516,-0.039808144,-0.039256743,0.326898934,-0.282263392,-0.122709047,-0.027274498,0.114252938,-0.085321087
YAL030W,-0.618169792,-0.33328702,-0.205413006,-0.122343912,-0.449377925,0.186427708,-0.079483437,-0.894338726,-0.594105091,0.388522813,-0.138364252,-0.401611573,0.140040247,-0.476206797
YAL031C,0.091771029,-0.097639947,-0.200222643,-0.277403369,-0.561338265,0.146475804,0.286448761,0.119241919,0.745408953,0.217605615,-0.101174704,0.215232725,-0.188879554,-0.443630562
YAL034C,-0.070252737,-0.038111458,-0.138354492,0.412943852,-0.318772557,0.252958488,0.232993159,0.257105791,0.208331676,0.180677973,-0.173618677,0.302813286,-0.155170895,-0.217031086
YAL035W,2.99418454,-1.490747914,-0.131240783,0.68765743,-0.177992502,0.28557091,-1.594905746,-1.989506973,-1.651398124,1.163816117,-1.462913839,-1.37281861,-0.378874134,0.3064834
YAL036C,-0.329179402,0.056111616,0.054986096,-0.319874616,-2.562198099,-0.042628019,0.280253447,-0.303718194,-0.014542044,-0.019064894,0.092299288,0.168997546,-0.145735343,-0.582439994
YAL037C-A,-0.574714601,0.313608872,0.053959773,-0.015591546,-0.420139051,0.901859288,0.020261603,0.483442187,-0.298179844,-0.763265104,-0.343051014,0.306525845,0.202969831,-0.413688447
YAL037W,0.449765323,0.281675324,0.333181972,0.195889169,-0.553383847,-0.310369058,0.681508654,-0.235458394,0.126319136,0.576853313,0.158289414,0.729719583,0.275328256,0.15474409
YAL039C,-0.183266921,0.58792168,0.939848476,0.192857323,0.469592823,-3.315792968,0.326414847,-2.94844502,-2.317661194,-0.380549911,0.281788387,-0.214576993,0.503278853,0.068946405
YAL040C,-0.140588052,0.013348181,-0.35467012,-0.15763197,-0.384559982,0.026783555,-0.153724458,0.502470189,0.598307837,-0.018060918,-0.221021202,-0.143808734,-0.338700181,-0.816767699
YAL042W,-0.138273845,1.183157421,-0.134482052,-0.027827538,-1.143087631,0.446304281,-0.421345724,1.411302801,-0.367337016,-0.306326939,-0.339418349,0.042241665,-0.058438949,-0.233888557
YAL044C,-0.155309912,0.248489415,0.410252147,0.542810842,0.588113992,-0.62708717,1.373015739,-0.141995703,0.301433424,2.130207139,0.109794446,0.003025595,-0.084294992,0.438306381
YAL044W-A,-0.098246507,-0.348923024,-0.062740246,0.054065853,-0.271280902,0.379954788,0.192859462,0.216194589,-0.129765778,-0.135967105,0.029530442,0.236572971,-0.020143645,-0.050681279
YAL045C,0.458244678,-0.098826955,0.035811889,-0.141682036,0.102124825,-0.001254825,-0.071526313,-0.028282559,0.040638063,-0.02653371,-0.025747533,0.03778929,-0.081431316,-0.050736627
YAL046C,0.301005073,-0.219210928,0.081777482,0.195851437,0.15878315,0.244439399,0.135404923,-0.155953313,-0.72163486,0.512011651,-0.111506599,-0.10776923,0.065419991,0.173118841
YAL047C,-0.228983327,-1.818180586,-0.579585398,0.759171488,0.076845167,-1.203752162,-0.511813572,-0.170143357,-0.566996271,0.245156157,-0.647069893,-0.081800411,-0.449461829,1.430041197
YAL048C,0.159464988,0,0.704217051,-0.268323847,0.008056461,-3.968365529,0.189148795,-2.897495176,-2.130786273,-0.602494145,0.223420392,-0.872362969,0.106443983,-0.084640959
YAL049C,-0.171535234,-0.276792338,-0.031659092,-0.25686117,-0.625355934,-0.037481826,0.223624753,-0.055043077,-0.069968485,0.185541018,-0.001527001,0.161608901,0.24388046,-0.49851983
YAL051W,0.159600148,0.43904065,0.492817447,0.486280737,-0.457151572,-0.541516983,0.14415733,0.167680204,0.072099208,0.181686751,0.403370245,0.448782227,0.321617366,0.350418175
YAL053W,-0.288401856,-0.382143256,-0.527398913,0.066665006,0.75549807,0.145650899,-0.41904304,0.563948598,0.278428947,-0.383091696,-0.472499043,-0.409033141,-0.06834109,-0.196931751
YAL054C,-0.291093611,-0.104709303,0.152278892,0.052642374,0.046681974,0.595522304,-0.261392443,0.139169381,-0.3014748,0.09818093,-0.248095437,-0.115656727,-0.580914541,0.811225067
YAL055W,1.659922688,-0.337717546,-0.182498689,0.041640668,0.416123704,0.177011853,-0.439836361,-0.200031726,-0.386228207,-0.533161522,-0.315452843,-0.31533636,0.229165137,0.660596313
YAL056W,0.098810877,0.687541706,0.719783786,1.07470871,-0.014606187,-0.622289378,1.039973775,-0.700385841,-0.479766629,0.03772863,0.708254626,1.108448135,0.896366077,0.07513839
YAL058C-A,-0.17885741,-0.206006757,-0.205681304,0.254902431,0.040475014,0.516927765,0.086960125,0.757853032,0.447151274,0.254186135,-0.374540038,0.479081903,-0.147092861,0.715274085
YAL058W,1.451645574,-0.593263995,-1.441037914,0.298813294,0.150845933,0.538076107,-0.495851592,1.036303199,0.200085816,-0.033965226,-0.821261855,-0.205422295,0.192381525,0.556987723
YAL059W,-0.382595118,-1.130574927,-1.263833765,-0.397447886,0.107982849,0.332200093,-0.438679614,0.501788688,-0.058168661,-1.249217894,-0.808789043,-0.120170136,-0.24748743,-0.827604199
YAL060W,-0.351815605,0.206872439,-0.015918754,0.165705101,-0.034066676,0.6568062,0.157157946,0.332389654,-0.077200882,-0.313767095,-0.039449717,0.410117199,-0.136621569,-0.164649324
YAL061W,-0.552387749,0.074933363,-0.031053428,-0.165598387,-0.555415525,0.494818905,0.122495325,0.278514846,0.307762061,-0.34557907,-0.020738951,0.242650851,-0.322078343,-0.397092792
YAL062W,-0.014524648,0.350469125,0.317812399,0.023635869,-0.54373224,-0.117440611,0.304251254,-0.307627143,-0.188360989,0.890308391,0.011050203,0.237312262,-0.05901928,-0.084261353
YAL064C-A,-0.377238375,-0.325454906,-0.015355214,0.206844124,0.812579312,0.15224025,-0.186125748,0.195942852,0.110491753,-0.094468552,-0.006802707,0.569728992,0.122297523,-0.410448489
YAL065C,-0.424754611,-0.071747349,-0.320063955,0.107299097,-0.496197445,0.418845914,-0.006368722,0.234799067,0.192787916,-0.478719961,-0.062157588,0.062794698,-0.125098016,-0.461144949
YAL066W,-0.25008728,0.178215707,0.151609596,0.615009619,-1.018530583,0.860926261,0.351776841,0.57466693,0.135453604,-0.151784635,-0.008565375,0.753632305,0.006431127,0.364081367
YAL067C,0.668537591,0.444980059,0.170996622,0.354741811,-0.247148912,0.257372174,0.133504183,0.504627085,0.486880526,-0.369820226,0.207479018,0.205395658,0.193771815,1.148009658
YAL067W-A,0.630914819,0.049903015,0.012190066,-0.18787602,-0.440164495,0.888947658,0.237437459,0.443900287,0.242348067,-0.470113651,-0.393953658,0.077916482,0.089039957,-0.709790308
YAL068C,-0.071088995,0.127872086,0.101149476,0.071014931,-0.479370198,0.334707638,0.076342161,0.171916623,0.112342535,0.231881424,0.166957589,0.313723821,0.305336553,0.053848719
YAR002C-A,-0.376737613,0.274128911,-0.257292694,0.328763282,0.949833233,0.478111979,-0.530470459,0.915781674,0.396937352,-0.37913381,-0.417969042,0.063274863,-0.558751923,-0.31712733
YAR002W,1.202392163,-0.469962653,-0.209343443,0.828053112,0.276260379,0.535648521,1.107225813,1.293352167,0.772224438,0.437067254,-0.374121614,0.747642075,0.585029548,2.325799458
YAR003W,-0.07024071,-0.811249696,0.025963106,0.974772354,0.308929833,-0.628141827,-0.695781932,0.020049199,1.896135186,0.972584511,-0.557070248,-0.869849498,0.885953665,1.444425412
YAR014C,0.022710016,-0.090143847,-1.041728336,-0.737084925,-0.21173722,1.241361618,0.534516998,0.530823883,-0.54327543,-0.548383332,-0.6317911,-0.281371231,0.112399058,0.856199991
YAR018C,-0.625851745,-0.224279965,-0.65724457,0.240708039,0.391594638,0.923770948,0.215888998,0.699766975,-0.328495736,-0.07057106,-0.6623788,-0.216985829,-0.127660816,-0.658919255
YAR020C,-0.3627816,-0.24456844,-0.406483048,-0.141939978,-0.269126086,0.066782876,-0.318436448,-0.406491663,0.08384114,-0.263838258,-0.304626148,-0.724929318,-0.414411846,-0.435963418
YAR023C,-0.56860649,-0.274041379,-0.340625718,-0.158399768,-0.373682043,-0.154120204,-0.452460647,-0.460813193,-0.407167394,0.039620408,-0.327414753,-0.529263135,-0.912899213,-1.091292601
YAR027W,-0.005130918,-0.419945946,0.143174734,0.415894477,-0.711927219,-0.19247406,0.055993651,0.23723648,0.366515859,0.539130924,0.453925279,0.119129822,-0.136752111,0.108856512
YAR028W,-0.354842803,-0.200669895,-0.054547974,0.463806448,-0.330147914,-0.325020162,-0.506117643,-0.374542338,-0.084674036,0.208757276,0.179358758,-0.31192562,-1.109158824,0.312652125
YAR029W,0.720651747,2.560766923,0.434054781,0.474137018,-0.183203328,-0.798723834,0.090131655,0.070051656,-0.957308276,-1.287142118,1.20084096,0.382552117,-0.491916417,-0.483577766
YAR030C,-0.586580413,0.02116071,-0.117654393,0.152524435,-0.915217929,0.059540964,0.199668551,-0.668325888,-0.382354204,-0.013771111,0.143714038,-0.104074198,-0.50000724,-0.039947971
YAR031W,-0.347421805,0.181006538,0.113787082,0.171671609,-0.841275806,0.309174398,0.135430795,-0.363834044,-0.029311906,0.281994354,0.015776565,-0.254547868,-0.505995184,-0.183594906
YAR035C-A,-0.120629315,-0.031454223,-0.11064067,-0.095908536,-0.729561001,-0.636684805,-0.414736223,-0.145186368,-0.159853623,0.01776005,-0.104189106,-0.145429272,0.142308442,-0.376904745
YAR035W,-0.619657563,-0.027335325,0.012212418,0.505917381,-0.461269654,0.151119804,0.223281407,-0.281695842,-0.418212773,0.11122497,-0.304071771,-0.139302242,-0.83700302,-0.598641163
YAR037W,-0.409198937,0.065002624,0.018463928,-0.287581095,-0.953375828,0.397874029,0.40842143,-0.843461816,-0.434861706,0.071433972,-0.211668299,-0.051548445,-0.179291448,-0.254894212
YAR040C,0.036553906,1.334974844,0.264591027,-0.245328594,0.065671132,-0.196808759,0.159115023,0.37030483,0.436943021,-0.947319792,0.44130442,-0.100054827,-0.477084263,-0.275659208
YAR042W,0.547981499,0.381858572,-0.005153955,-0.173380486,0.197955564,0.476007862,0.374706057,1.820555517,0.587758671,0.116096734,-0.078767459,0.462420533,0.319187231,-0.420319958
YAR043C,0.629089703,0.70557683,0.463943346,0.261445006,0.409663314,-0.046671996,0.839112596,1.559863143,0.709800122,-0.544516611,0.443465718,0.921979404,1.44766379,0.170504896
YAR044W,0.672656979,0.462208571,-0.314342329,0.127470313,0.204450186,1.02970534,-0.108391826,2.189985467,0.13955311,-0.013401212,-0.404037324,0.548496046,0.145250518,0.377567693
YAR047C,0.453099986,-0.182104954,-0.254658309,-0.886445618,0.178725511,0.441614935,0.015226291,-0.041973356,0.084161329,0.065972851,-0.06364719,0.047509219,0.215769316,0.370905046
YAR050W,0.15208014,0.263697739,0.25306493,0.279522999,0.173222967,0.044603762,-0.092765161,0.623881379,0.722178611,0.029988483,0.044207771,0.474634604,-0.594217724,0.796876682
YBL001C,0.233276628,-0.226943369,-0.269370725,0.48951672,0.184976296,0.231890274,-0.046608042,0.661605077,0.010256576,0.124771111,-0.319973955,-0.052315532,0.216376838,0.385469248
YBL002W,-0.166724971,0.719193167,1.320882239,-0.435907022,-0.022591344,-1.679721336,0.522940387,-1.487538433,-0.991179733,-0.392545725,0.836394878,0.536730214,1.414675397,0.0109593
YBL003C,0.033102647,0.077747951,0.033927883,0.309585091,-0.187866887,-0.008053573,-0.195081152,0.409595601,1.415189706,-0.304979192,-0.054589617,0.193444126,-0.173358008,-0.192945404
YBL005W,1.202128759,-0.363529753,-0.220040407,0.815463024,0.327021344,0.375834548,0.201244039,0.630906217,1.173297098,-0.063646496,0.068628037,0.723031872,-0.049527158,2.595145094
YBL006C,0.414147278,-0.741725045,0.353836306,0.692530006,0.00562052,0.648877509,1.011286372,0.407942967,-0.585363146,0.785528003,0.141833786,0.802892832,0.11629974,1.403474398
YBL007C,3.712099136,-1.206390178,-3.412824765,-0.80351824,-0.167265909,-2.354753498,-2.65338158,0.828369733,0.618710265,-0.359577686,-1.383103487,-1.156343884,-0.800353829,0.722700391
YBL008W,0.227426244,-0.187785463,-0.332883203,0.107751854,-0.159661119,0.455090092,-0.655535788,-0.023922168,0.981001497,-0.062255904,-0.31955037,-0.780289748,2.685602578,-0.079958463
YBL008W-A,0.992462458,-0.097402829,-0.031447081,-0.929785354,-0.242447769,-0.727388507,-0.294778068,-0.295824806,0.749038792,0.032948599,0.031456305,-0.293568122,-0.015879199,1.558174056
YBL009W,-0.266747656,-0.015900333,-0.351676739,-0.311000432,-0.279262317,0.586864243,-0.1034298,-0.062221778,-0.111620073,-0.113985349,-0.195749431,0.028396499,0.003487912,-0.421557569
YBL010C,-0.115959714,0.020014148,-0.687077503,-0.56093039,-0.706570889,0.151698232,-0.005168031,0.079236413,-0.50082746,0.45113221,-0.163046607,0.150244806,-0.206122354,-1.07675169
YBL011W,-0.038768628,0.147658354,0.187363186,0.285286492,-0.2171884,-0.556762941,0.338545583,0.363560602,0.523123344,0.903684809,-0.008390091,0.701932302,-0.35130046,-0.279561076
YBL012C,-0.852447623,-0.453713139,0.456307497,-0.07581162,-0.233833434,-4.365660941,-0.668939381,-2.572901591,-1.009595409,-0.435288526,0.084665824,-1.485707355,0.867892369,-0.365883478
YBL013W,-0.429627542,0.477336312,0.227643334,0.349232078,-0.166321214,-0.099613772,0.169197728,-0.948861231,-1.285383206,1.313182509,0.050301262,-0.079526585,-0.131210515,0.489071781
YBL015W,-0.546771275,-0.516917708,-0.664324479,-0.719671264,-0.634609149,-0.169533215,-0.341527653,-0.864128646,-1.385845789,1.0669271,-0.119326916,-0.684371735,-0.334615163,0.151612232
YBL016W,-0.399684423,-0.169475914,-0.344129325,0.205569264,-0.42135193,0.004877315,-0.640327614,0.347802157,0.754198207,0.01562627,-0.131544146,-0.501268303,-0.635595212,-1.125614898
YBL017C,1.63153112,2.325786782,0.834279288,1.011407271,1.087784147,-0.590164798,-0.426643125,2.982277343,1.442402846,-0.956161373,0.200950308,0.448396627,-0.220330065,0.254636687
YBL019W,0.166663682,1.472154429,0.439152879,0.369660066,0.778355408,0.400070267,0.244959155,1.279021627,1.561007147,-0.860086968,0.250621176,0.719011994,0.21945229,0.488309514
YBL021C,0.104060822,1.810215933,1.008787814,0.945493986,0.925250358,-0.657004631,1.063250641,-1.777346222,-1.576414231,2.278976443,0.903935651,0.567797191,0.302620632,1.081068337
YBL022C,0.109052845,1.316491189,1.236100392,-0.979154272,0.1218588,-3.948510214,0.861727176,-2.827826278,0.271588114,-0.893525555,1.30184691,-0.478179885,1.641659798,-0.529054462
YBL024W,0.92431044,4.488861555,1.004935442,1.006919364,1.190938608,0.270442465,2.333639041,-0.616089096,-1.53080037,-1.365748992,1.940968664,2.550321302,0.109755639,1.088662647
YBL025W,0.779187277,-2.581619311,-3.587409513,-0.042465232,0.299533291,0.711028703,-1.947610793,0.13436315,-1.60501964,-0.284733858,-1.380137782,-1.502061496,-0.503391317,-0.078185428
YBL027W,-0.382243312,-4.135884967,-5.336799185,0.035934881,0.512265392,-1.086632117,-1.679023389,-1.327749479,-1.181459724,0.56776983,-0.89990813,-1.395770674,0.196438756,0.737472709
YBL028C,-0.603460515,-0.262748647,-0.264056624,0.710483411,-0.476686087,0.517555707,-0.037514622,0.09835654,-0.056560259,0.054691316,-0.330609875,0.153017624,-0.385484891,-0.122007305
YBL029C-A,0.394829683,0.010433554,0.170106786,-0.370884174,0.193275165,0.074703238,-0.201110393,0.128505548,-0.056797887,-0.112977402,1.556987247,-0.123573696,0.032303437,1.133921619
YBL029W,-0.05069123,-0.302847882,-0.008025265,0.03236663,-0.145395848,0.227038215,0.355106524,0.048874906,0.384159893,0.160202446,-0.079771376,0.806145675,0.274985407,0.499863255
YBL031W,0.023116576,-0.337795576,-0.36338218,0.435431383,0.665005768,-0.203937272,0.248121825,0.284338418,0.493863839,0.802358463,-0.121863509,0.649006524,0.071533545,0.270088248
YBL032W,-0.027656541,0.794083826,0.101055023,0.796441273,0.403257694,0.371929336,0.33204304,1.076744325,0.802904598,0.660581087,0.091583515,0.531857591,0.540185898,-0.439942988
YBL033C,0.317316345,-1.042910407,-0.748695511,0.779851369,-0.064959483,1.824704698,0.688326669,1.105957529,0.77941914,0.676916288,-0.108206514,0.519644402,0.339928079,0.401728219
YBL036C,-0.505109554,-0.52671831,-0.742328064,-0.104500775,-0.0783341,0.786158099,0.237452498,0.303814535,0.33404043,-0.507761144,-0.296562557,0.347852317,-0.346144659,-0.949135886
YBL037W,-0.076618495,0.133986159,0.156784049,-0.000593961,-0.262861512,0.357577893,0.122283365,0.14034535,0.339448228,-0.24437133,-0.107047726,0.285687304,-0.098671595,-0.133426248
YBL038W,-0.004939715,0.301506556,0.064361735,0.152066033,0.015236729,0.396936564,-0.081958412,0.198752217,0.211113542,-0.020166429,-0.21081921,0.427219106,-0.047191872,0.249080006
YBL039C,0.707823243,0.151714057,0.102913368,1.146534924,-0.196366306,0.365523283,0.82800036,0.807507937,-0.359443529,-0.308737214,0.274644159,1.539811062,0.685589732,1.974404568
YBL039W-A,0.386486356,0.112668811,0.255773424,0.150022061,0.642156967,-0.073223143,0.053705454,0.129460171,-0.146633581,0.021187188,0.027864971,-0.113752835,0.054033987,0.232820042
YBL042C,-0.213213278,-0.116966376,-0.06851928,-0.272151997,-0.564575117,0.066579179,-0.29223636,-0.208022877,-2.060462291,0.113242454,0.055145511,0.117521714,-0.213466731,0.075035189
YBL043W,-0.079047529,0.386730936,0.055291857,0.194435828,0.08656481,0.015510601,0.126418039,0.014519633,0.432074543,-0.119382471,0.190637791,-0.010495127,0.312324397,0.406862438
YBL044W,0.004040882,0.18285315,0.986616198,-1.555746309,-0.018289751,-4.316569576,0.331792229,-2.51227005,-0.766847321,-0.709173833,0.291102625,-0.115203173,1.15130694,-0.289561797
YBL045C,-1.092961486,1.025094233,1.294162273,-0.719251583,0.142574321,-3.593224138,0.382793862,-2.807238233,-1.730369644,-0.752716574,0.652474362,0.042705509,1.058562473,-0.698697956
YBL046W,-0.036828019,0.614973411,0.777985034,0.777528882,0.279492298,0.41555508,0.777616241,0.303627205,0.663738575,0.551205186,0.292297094,0.806013985,0.089842909,0.440967764
YBL047C,2.057463375,0.92412457,-0.131591199,0.497429014,0.438783959,-0.820905676,-0.085128196,0.523264901,1.061783383,0.984381412,-0.247361045,0.453149276,0.082506497,0.50335795
YBL048W,-0.259950249,-0.006108004,0.056730395,-0.153987337,0.545134784,0.618442744,0.234598646,0.097132033,0.179138543,-0.072617216,-0.046880488,0.006059697,0.058557172,-0.240174488
YBL049W,-0.113995064,-0.042900763,0.012578125,-0.760364767,-0.031134709,0.268736212,-0.177104151,-0.018746393,0.190551658,0.197198218,-0.288556392,0.316906097,-0.381578732,-0.19758738
YBL051C,0.213004637,-2.010250917,-3.333815259,0.181083584,-0.071057502,0.376771009,-1.905427223,0.928950623,1.589293702,-0.234267739,-1.24680073,-0.66875475,-0.564794414,-0.089075305
YBL052C,0.04357106,-0.309691094,-0.895951191,-0.110566937,-0.261634924,0.300586962,-0.174034195,0.32684349,0.058104043,0.183805678,-0.21742756,0.044784961,-0.329057091,-0.540980018
YBL053W,-0.269665648,-0.065690367,-0.269353453,-0.115843183,-0.338350423,0.25757151,0.100523641,0.133016204,-0.092349581,-0.177382535,0.002070135,0.382351517,-0.186650508,-0.310491079
YBL054W,-0.472056433,-0.478820951,-0.599830249,-0.297908006,-0.148349479,-0.227589834,-0.053627403,-0.745804189,-0.266687454,-0.138706668,-0.1075517,-0.354245148,-0.482196306,-1.041182152
YBL055C,-0.314320269,-0.152967588,-0.37156558,-0.444146596,-0.429914683,0.096576983,-0.006729092,-0.430250741,-0.543452954,-0.213763066,-0.095644846,-0.150990542,-0.514317722,-0.542194514
YBL056W,-0.26116876,-0.093583343,-0.427761964,-0.298115295,-0.05765765,0.295680971,-0.269805977,-0.386842417,0.196587386,-0.143956125,-0.175902827,-0.155347597,-0.272899007,-0.305802859
YBL057C,0.470019142,-0.091904446,-0.014093327,0.398001934,0.097279308,0.118329987,0.067294684,-0.204341093,0.109487144,0.333799965,0.1866946,0.057304781,-0.020342671,-0.254287649
YBL058W,1.284794969,-2.63925236,-3.3565866,0.40459898,0.763380936,-2.008166986,-1.456423249,1.606527186,-0.723080499,0.417486846,-1.10599518,-1.315472242,-0.293140816,0.529764126
YBL059W,0.050864494,0.224207584,0.770996164,0.459649911,0.070825451,-2.131437786,0.198601853,-0.474906873,-0.395276251,1.38586247,0.215021867,0.006522844,0.78218576,0.749493562
YBL060W,0.015758672,-0.041145429,-0.037769339,0.214306809,0.128264461,0.205165768,0.075181384,-0.036831715,0.198320567,0.11062557,-0.118702501,0.29972895,0.343271714,0.605033524
YBL061C,0.29328164,-0.001099102,-0.003528219,0.003481756,0.344992319,0.60539259,0.351138176,0.325562057,0.696084773,-1.128204134,0.068060661,0.579888294,0.285054927,0.291018457
YBL062W,-0.029328306,0.082240509,-0.15063712,0.16477432,-0.275796243,0.55546325,0.124622481,0.12961168,0.66977094,-1.120092428,-0.066307615,0.611613109,-0.145622182,-0.270916345
YBL063W,0.367036872,0.366707242,0.209275674,0.649569926,-0.036547436,0.220703231,0.127346122,0.498766428,0.724444652,0.163371558,0.258363612,0.758580334,0.290940497,0.330461096
YBL064C,0.203881045,0.124491423,0.370730248,0.082977184,0.432329085,-0.051664096,0.519734843,-0.12412264,0.48939896,0.684405089,0.067022449,0.556486313,-0.353140835,0.299649575
YBL065W,-0.182188661,0.648581227,0.44221018,0.073303066,-0.078777909,0.069979436,0.306628779,-0.519221181,-2.713032863,0.17114387,0.475509178,0.196934728,-0.041377815,-0.115910936
YBL066C,-0.009120701,0.320271261,0.08337163,-0.154315514,-0.012001225,-0.077172429,-0.145389798,-0.440356565,-2.614832579,-0.076363845,0.159475449,0.064355646,-0.414059961,-0.319864929
YBL067C,0.111571036,-1.660615782,-1.085252494,0.30890819,0.401338166,-0.036391894,0.37110475,-0.049414799,0.38126192,0.575166672,-0.249747967,-0.102208993,-0.096919583,0.065415371
YBL068W,1.101422372,2.099311547,0.331016187,0.410665427,-0.03399724,-0.161426584,-0.063920611,1.964347934,1.792530842,-2.610644964,0.849102174,0.64492767,0.108771527,-0.604755173
YBL069W,-0.276498577,-0.351996289,-0.340295615,-0.217696123,0.208050406,0.341235013,-0.308341435,0.065238377,0.311060557,1.33E-15,-0.150785793,0.012441662,0.084537887,-0.919330395
YBL070C,-0.232545122,-0.06474947,0.087657368,-0.212763864,-0.363597825,-0.266892751,0.313140654,-0.39309313,-0.428007501,-0.129294382,0.055131257,0.060856007,-0.105735287,-0.597956195
YBL071C,-0.628842935,-0.105594142,0.087597311,0.053793801,-0.378766831,0.500796485,-0.748315789,0.479448513,-0.575575951,-0.761690634,-0.11543826,-0.712801991,0.056236203,-0.218813752
YBL071C-B,-0.039997762,-1.274629177,-1.683446756,-0.55226449,-0.760609395,-0.366645331,0.464789749,-1.91165275,-1.967812176,0.254956938,0.107843721,-1.549252112,-0.628540383,0.090666931
