ORF,Ca,Cd,Co,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,P,S,Zn
YJL181W,-0.392251939,-0.370423944,-0.351831706,-0.530784592,-0.47879362,0.135746778,-0.240240965,-0.600825184,-0.471479265,0.367237909,-0.18329611,-0.188485989,-0.299813533,-0.686404346
YJL182C,1.391466286,2.758234699,1.122256485,-0.129596693,-0.209304601,-0.347228062,1.156180946,2.174342111,1.937524246,-2.459355209,2.35450406,1.993933341,0.813893998,-0.512408911
YJL183W,0.987573082,-1.141049322,-0.857428215,0.750188667,0.437361865,-0.294494671,-0.419030179,0.897063182,1.23903591,1.393655512,-0.449919393,0.872392132,0.311742751,0.858543298
YJL184W,2.385019223,-9.735184478,-20.00606077,0.867529833,-0.344707957,-2.59698004,-1.668115369,0.027793125,-0.022252297,0.191230535,-2.356614531,-1.525337674,-0.06069213,-1.478808395
YJL185C,0.368956162,2.706316811,0.90137564,0.226710056,-0.33987857,0.325117543,0.605839036,1.067330476,1.357591087,-2.086717997,1.074826157,0.749462003,0.414862334,-0.152505842
YJL186W,-0.573618705,-0.346160876,-0.115388868,0.174961663,-0.070188171,-0.090002981,-0.296425632,0.235417506,-0.027001609,0.384601283,-0.226390433,-0.10141332,-0.142012618,-0.206368694
YJL187C,-0.074747116,-0.45692076,-0.332785888,0.117509971,-0.345672911,-0.046661513,-0.088532129,-0.016930491,-0.54096146,0.557203851,-0.230375678,-0.279150165,-0.355954203,0.030819461
YJL188C,1.730428725,-0.918622458,-0.856046335,0.544943555,0.442372468,-0.447749733,-1.804486616,-1.578651353,0.259061127,-0.849056253,-1.149700791,-1.688311929,-0.415390859,0.911288581
YJL189W,1.74453729,-1.585836518,-1.735362172,0.068885974,0.350644692,-0.676634777,-2.29130167,-1.907151243,0.022288388,-1.05641405,-1.611420092,-2.193805316,-0.265842635,0.557406204
YJL190C,-0.207832349,0.067515272,-0.061558565,0.034720881,0.141746922,0.404450031,1.182130851,-0.192875923,-0.643411217,-0.419624797,0.116364621,1.133747659,-0.106477775,0.248078104
YJL191W,0.070803257,1.073221998,-0.021912168,0.000929336,-0.009431065,0.041589585,0.089431436,0.7346964,0.846751091,-0.945662708,0.081394845,0.059240363,0.084721133,-0.579087348
YJL192C,-0.061158879,1.757992497,0.143233593,-0.486346348,0.150038614,-0.195451263,-0.799649686,0.571892823,-0.054723907,-0.683352002,-0.160495678,-0.60033675,-0.642291684,-0.819906757
YJL193W,-0.162421537,0.933312129,0.311211718,-0.394662653,-0.249442432,0.164749974,0.058983145,-1.290242978,0.168697091,-0.335676034,-0.059645367,-0.53940415,-0.850876376,-0.63754366
YJL196C,-0.045093552,-0.245710111,-0.20136378,0.133808901,-0.132315374,0.311135703,0.430865264,0.26060211,-0.166253348,0.315034559,-0.025679979,0.133000467,-0.251407113,-0.031031258
YJL197W,-0.630853486,-0.494628399,-0.077440527,-0.221442315,0.016668504,0.353834611,0.350579243,0.329813371,-0.175254893,0.763033509,-0.176116402,0.419740552,0.268136409,0.2182513
YJL198W,-1.826425668,1.26994353,0.575639278,0.246980205,0.16483352,0.267459153,-1.541648515,0.115271128,0.996567761,-0.930786348,-0.191927168,-1.707245548,0.151952383,0.071804811
