"Sample Name","23_Na_He","24_Mg_He","24_Mg_HEHe","31_P_HEHe","34_S_HEHe","39_K_HEHe","39_K_H2","40_Ca_H2","44_Ca_HEHe","55_Mn_He","56_Fe_HEHe","56_Fe_H2","59_Co_He","63_Cu_He","66_Zn_He","95_Mo_He","115_In_He","115_In_HEHe","6_Li ISTD_He","45_Sc ISTD_He","45_Sc ISTD_HEHe","45_Sc ISTD_H2","72_Ge ISTD_He","72_Ge ISTD_HEHe","72_Ge ISTD_H2","209_Bi ISTD_He","209_Bi ISTD_HEHe"
"PL2-P1-A1",117640216.743333,142213987.88,182368470.613333,23660473.4433333,5548035.06333333,315619004.553333,1550869721.75667,484367188.216667,3894935.64,7205.40333333333,1790409.19666667,2509716.74333333,453.06,630253.77,410500.836666667,1409454.93666667,543212.06,1670320.17333333,2415.77333333333,103515.226666667,175882.153333333,795693.466666667,71997.4566666667,119870.956666667,163550.496666667,1240859.38666667,1566434.34
"PL2-P1-A10",102459373.886667,115635568.276667,158383382.086667,20236978.5333333,4922847.24,268087598.153333,1444278534.32667,429441080.556667,3170698.14666667,925711.606666667,220391.496666667,329426.816666667,1166.17666666667,314230.646666667,335732.046666667,1262661.64333333,526334.533333333,1597055.10666667,2350.78666666667,91806.92,163592.313333333,807946.85,65493.67,114101.17,164227.156666667,1247922.09,1529790.56333333
"PL2-P1-A11",98889511.9666667,125046028.136667,171194806.336667,22403828.2533333,6845232.13666667,288292158.67,1534871684.28333,454549438.72,3374273.87333333,995482.056666667,1447205.44333333,2146438.84666667,507.066666666667,9365.99333333333,362072.06,1315696.89,531492.09,1589696.73,2360.77666666667,93353.3366666667,165745.026666667,806317.016666667,66460.6766666667,113739.81,160672.363333333,1231681.42333333,1508915.59666667
"PL2-P1-A12",88594985.37,111749063.89,157013494.326667,19740221.5166667,4672414.11,262594204.956667,1440395211.13667,427323158.623333,3092858.45,899244.54,1452268.84666667,2285233.18666667,410.383333333333,13214.6133333333,328423.95,1310302.59333333,498027.033333333,1513458.72666667,2240.82,83925.2833333333,152400.146666667,769133.823333333,58207.8033333333,102176.303333333,150407.643333333,1195815.16,1533078.76
"PL2-P1-A2",121520465.98,146113667.823333,188305003.86,25292735.8566667,5745930.48,323222327.606667,1559632991.38667,478083030.39,3917071.88333333,5313115.83666667,1782515.49,2500099.99,510.733333333333,608858.21,409773.626666667,1408411.62333333,557711.093333333,1708447.88,2617.38666666667,108791.573333333,183653.21,819403.56,75169.37,124912.166666667,166230.176666667,1267723.52,1580566.30666667
"PL2-P1-A3",84707943.6933333,102129494.033333,144914273.396667,18503575.8333333,4405414.36666667,244910248.286667,1397923874.63333,433357847.636667,3022135.75333333,966465.84,1432309.51333333,2340804.32666667,367.713333333333,472630.943333333,317905.49,40128.2733333333,481302.203333333,1471823.14666667,2072.54,75943.2033333333,142677.86,748047.18,56770.9566666667,100215.526666667,156036.436666667,1193274.27,1488271.82666667
"PL2-P1-A4",91523547.9066667,110339918.356667,150727568.863333,18953082.4566667,4555516.12666667,251860166.293333,1375834078.94667,429317259.366667,3145015.31666667,914457.763333333,1524703.96333333,2425771.22,353.376666666667,491671.653333333,331019.403333333,5921135.82666667,488384.57,1473306.31333333,2175.84,82601.55,148414.476666667,751096.48,60832.4233333333,102869.58,156244.566666667,1163932.43,1532247.83333333
"PL2-P1-A5",1030082.40666667,81813558.2266667,119561180.44,15401506.0733333,3763634.92666667,205091355.8,1182241426.44667,383669038.653333,2670650.75666667,722112.956666667,1170702.26,1994792.90666667,303.036666666667,416726.056666667,277973.41,1118987.77,435071.516666667,1367384.25333333,1910.92666666667,65700.3533333333,127214.1,684990.476666667,49782.1733333333,90659.62,151896.826666667,1120348.33333333,1504225.53
"PL2-P1-A6",337665884.326667,82214780.9966667,116942436.033333,14115442.7766667,3475918.85666667,193591312.823333,1141043176.31667,356021511.22,2434181.04333333,679146.316666667,1122876.95,1893668.79333333,271.366666666667,380167.496666667,238006.89,1015926.95666667,406767.15,1364953.36333333,1784.30666666667,63100.9333333333,118905.2,648028.396666667,46654.3533333333,82459.38,137434.416666667,1002002.74666667,1318199.47
"PL2-P1-A7",73801569.6566667,90925426.4233333,129828681.4,16773360.7833333,3850405.73,216649086.456667,1274291673.45,389161162.146667,2676718.98,762596.153333333,1100167.99333333,1900654.68,312.373333333333,420536.196666667,7832.28333333333,1173000.94333333,453194.15,1363822.10666667,1835.95,67575.0733333333,128051.67,699365.883333333,51092.08,91162.8433333333,154617.043333333,1164565.79666667,1544723.42
"PL2-P1-A8",75042635.8533333,92146910.85,132319289.14,16884788.4266667,3922792.13666667,217547708.376667,1270123932.52667,387534858.77,2665624.04,770270.636666667,1273160.64,2183539.20333333,309.706666666667,423481.876666667,7551.42333333333,1142011.50666667,450387.903333333,1355132.29333333,1934.25,68781.48,130135.17,703109.87,52314.0966666667,91439,152396.62,1134190.45,1493294.05666667
"PL2-P1-A9",110996068.473333,137189280.176667,178801510.67,22957571.1366667,5391802.05666667,298627436.913333,1468630125.06,1043937.66,7211.34,1061155.12333333,1400698.33333333,1969647.33,440.386666666667,592917.653333333,390068.893333333,1379236.48,547897.843333333,1665669.15,2737.34,104080.033333333,178657.73,820527.846666667,72590.6233333333,120539.706666667,163807.353333333,1255473.61333333,1572339.23333333
"PL2-P1-B1",124669662.376667,145260595.613333,185474119.46,23817588.82,5681322.89333333,318147603.063333,1531658110.82333,530715554.746667,4335150.3,35812.1966666667,1584392.84,2229166.6,437.723333333333,632865.016666667,406420.5,1398338.89666667,532177.763333333,1631970.79,2369.11333333333,103375.013333333,173173.386666667,769844.343333333,71534.4366666667,118876.623333333,159230.826666667,1207594.1,1513149.02666667
"PL2-P1-B10",121768412.023333,124295289.256667,166205539.75,21289234.9433333,5200507.59666667,281496676.76,1472353541.67333,437262892.843333,3300614.77333333,979133.55,313702.653333333,382226.53,1985.35333333333,284643.966666667,352828.726666667,1318167.92333333,540292.236666667,1617680.5,2374.11333333333,96526.0466666667,169086.556666667,809976.076666667,69050.79,115857.943333333,163305.813333333,1245063.18,1534848.30666667
"PL2-P1-B11",104178134.593333,131286738.043333,176337541.813333,23278257.8766667,7704183.96,297992662.166667,1540440412.81667,457962735.396667,3499060.17333333,1033206.79,1096496.60666667,1604665.96333333,523.07,10008.16,369910.336666667,1331329.65666667,538664.816666667,1622940.70666667,2485.74666666667,97706.61,170253.11,809616.726666667,68828.1333333333,115914.14,161164.45,1236481.69333333,1502640.82666667
"PL2-P1-B12",93342187.8466667,118615490.453333,162448979.803333,20380721.0766667,4808492.22,270324021.166667,1471720001.49,436250172.766667,3197260.4,932983.056666667,1515372.77,2333890.44666667,414.383333333333,12191.7,340644.32,1353244.62,504425.236666667,1541773.96666667,2342.45666666667,87468.2533333333,156345.386666667,779791.153333333,60936.3233333333,104665.196666667,153059.54,1198587.81,1467853.76666667
"PL2-P1-B2",118331052.193333,142044514.55,183180121.716667,24438098.05,5618971.40666667,313882618.226667,1543614333.29333,475387993.93,3823149.95,10359171.2766667,1648542.11,2359566.80666667,566.74,593867.423333333,399081.07,1377808.12333333,545374.84,1665997.09666667,2669.02,104037.346666667,177855.95,799339.14,72567.8966666667,121385.013333333,162065.296666667,1240888.01666667,1563447.69333333
