"Sample Name","23_Na_He","24_Mg_He","24_Mg_HEHe","31_P_HEHe","34_S_HEHe","39_K_HEHe","39_K_H2","40_Ca_H2","44_Ca_HEHe","55_Mn_He","56_Fe_HEHe","56_Fe_H2","59_Co_He","63_Cu_He","66_Zn_He","95_Mo_He","115_In_He","115_In_HEHe","6_Li ISTD_He","45_Sc ISTD_He","45_Sc ISTD_HEHe","45_Sc ISTD_H2","72_Ge ISTD_He","72_Ge ISTD_HEHe","72_Ge ISTD_H2","209_Bi ISTD_He","209_Bi ISTD_HEHe"
"PL1-P1-H5",100018482.543333,127381188.103333,151859047.736667,20016591.16,4628116.93,252575446.55,1464415724.13667,452846461.586667,3180185.4,1037121.21,1440990.14333333,2361472.85333333,411.716666666667,1088105.47333333,367574.326666667,1353635.14333333,589798.936666667,1756073.51333333,2474.08,90543.8466666667,146250.813333333,774173.163333333,67468.3166666667,109375,177474.363333333,1462666.09666667,1905059.22333333
"PL1-P1-H3",116298350.106667,145844454.493333,169558783.026667,22563820.59,5266340.34666667,286468164.743333,1643709571.66667,1013740570.72667,7052534.48333333,1139449.7,1617081.17,2614364.94,451.393333333333,585539.646666667,404357.963333333,1436926.18,620415.073333333,1882561.92666667,2778.99333333333,102520.006666667,162990.586666667,835327.136666667,73476.8566666667,118514.263333333,182772.773333333,1497172.93666667,1972986.10333333
"PL1-P1-H1",84822024.9933333,109656840.59,133145501.35,17334013.3533333,4088179.92666667,218760591.216667,1346890963.51667,420557524.316667,2780682.34333333,911995.436666667,1433115.09666667,2503093.24666667,409.716666666667,481195.363333333,335994.406666667,1254144.70333333,558878.253333333,1615293.03333333,2082.53666666667,79010.7966666667,128818.863333333,728035.736666667,60863.38,98502.01,177830.976666667,1426626.77,1828812.68
"PL1-P1-G5",98577660.3766667,126078969.23,150142968.873333,19507266.55,4545611.26,246513646.63,1447958867.86,448714664.723333,3102097.84,983560.77,1377608.24333333,2297783.39666667,387.05,271423.506666667,363968.543333333,1335928.82,581578.74,1722863.90333333,2320.79333333333,88009.1166666667,141177.6,758861.306666667,65842.8266666667,105965.646666667,177789.303333333,1465399.91333333,1910832.95
"PL1-P1-G3",113549029.626667,142135974.55,167839729.716667,21317466.9333333,5224845.53,276582809.733333,1547196768.93333,233603693.246667,1685883.87666667,1105632.59333333,1499423.57333333,2350937.21333333,447.39,583981.973333333,404634.78,1413028.99666667,613049.906666667,1883662.39333333,2815.65333333333,98164.5833333333,159050.203333333,817711.62,72027.6966666667,118002.756666667,181775.253333333,1510169.78333333,1999053.87
"PL1-P1-G1",84181301.1566667,106573028.41,130340143.613333,17032736.0533333,3978045.58,214573068.843333,1334118191.19333,415752124.986667,2743729.46,887344.833333333,1262449.79666667,2242511.18666667,446.06,468252.686666667,332463.206666667,1248834.58,545772.393333333,1579691.12,1912.59333333333,77282.7366666667,125494.923333333,710931.163333333,58831.2766666667,95470.4166666667,172938.22,1401345.46666667,1793953.67333333
"PL1-P1-F5",102660259.286667,128301631.42,152905279.943333,20090926.76,4678129.59666667,253037491.91,1505022983.29667,464589160.436667,3167797.47,1025512.79,1419546.53,2364366.04,432.72,113829.716666667,375040.633333333,1361404.18666667,596467.566666667,1770993.91333333,2457.41666666667,90501.18,145217.76,790262.856666667,67792.3933333333,108924.08,182899.113333333,1492371.11666667,1943044.28
"PL1-P1-F3",114055379.81,141311804.56,167163523.063333,21284813.6666667,5168519.73333333,277378255.153333,1527883442.95667,92044052.14,754677.52,1110785.21,1566063.54,2458295.62,430.72,584170.473333333,404232.003333333,1400010.13,615374.71,1899059.2,2875.63666666667,98825.7633333334,159893.87,809475.88,72521.07,118643.116666667,181317.333333333,1528950.86333333,2050474.50333333
"PL1-P1-F2",81355454.7666667,103275297.35,126548962.556667,16520939.8666667,3898897.74333333,209401575.866667,1309605799.66667,406792264.953333,2665743.19333333,877046.906666667,1255602.71666667,2246830.82333333,350.043333333333,466573.703333333,323672.5,1249882.32666667,553148.383333333,1609459.27,1802.63,76868.1333333333,124716.91,712609.2,59171.03,96109.91,177234.17,1431065.03666667,1827731.50333333
"PL1-P1-F1",407241.076666667,421096.726666667,1076.88,5634.67333333333,854.12,23856.1966666667,60757.3133333333,296.22,34.58,3402.59666666667,61.3366666666667,35.3333333333333,299.373333333333,12707.4766666667,1230.57666666667,7036.84666666667,41114.0266666667,1352.82333333333,169.926666666667,4952.61666666667,23.34,40.01,4574.76,26.6733333333333,5.83333333333333,100867.89,428.156666666667
