,1,2,3,4,5,6,7,8,9,10,11,12
"A","Fe_0x+DfP_100uM","Cu_0x+BCS_100uM","AllEle_1x+DfP_10uM","Fe_0x+DiP_50uM","Fe_0x+Dfsx_5uM","Fe_0x+Def_20uM","AllEle_1x+Def_20uM","Cu_0x+EDTA_200uM","Fe_0x+EDTA_200uM","AllEle_1x_0uM","Empty","Empty"
"B","Fe_0x+DfP_200uM","Cu_0x+BCS_200uM","AllEle_1x+DfP_50uM","Fe_0x+DiP_100uM","Fe_0x+Dfsx_10uM","Fe_0x+Def_40uM","AllEle_1x+Def_40uM","Cu_0x+EDTA_300uM","Fe_0x+EDTA_300uM","AllEle_1x_0uM","Empty","Empty"
"C","Fe_0x+DfP_300uM","Cu_0x+BCS_300uM","AllEle_1x+DfP_100uM","Fe_0x+DiP_150uM","Fe_0x+Dfsx_15uM","Fe_0x+Def_60uM","AllEle_1x+Def_60uM","Cu_0x+EDTA_400uM","Fe_0x+EDTA_400uM","Empty","Empty","Empty"
"D","Fe_0x+DfP_400uM","Cu_0x+BCS_400uM","AllEle_1x+DfP_150uM","Fe_0x+DiP_200uM","Fe_0x+Dfsx_20uM","Fe_0x+Def_100uM","AllEle_1x+Def_100uM","Cu_0x+EDTA_500uM","Fe_0x+EDTA_500uM","Empty","Empty","Empty"
"E","Fe_0x","Cu_0x+BCS_500uM","AllEle_1x+DfP_250uM","Fe_0x+DiP_250uM","Fe_0x+Dfsx_25uM","Fe_0x+Def_200uM","AllEle_1x+Def_200uM","Cu_0x+EDTA_600uM","Fe_0x+EDTA_600uM","Empty","Empty","Empty"
"F","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty"
"G","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty"
"H","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty"
