"BioSpecID","metal","env_metal_concentration","growth_rate"
"Zn 2","Zn",2,0.365777196340444
"Zn 100","Zn",100,0.381516746685202
"Zn 20","Zn",20,0.371108849099601
"Zn 5","Zn",5,0.382246492450305
"Ca 0","Ca",0,0.311664970180459
"Ca 0.2","Ca",0.2,0.408273691897718
"Zn 50","Zn",50,0.387600218113401
"Zn 10","Zn",10,0.385044140823935
"Ca 0.01","Ca",0.01,0.32506393369005
"Ca 0.5","Ca",0.5,0.408009335983986
"Zn 100","Zn",100,0.383571719424548
"Zn 20","Zn",20,0.382428401582223
"Ca 0.02","Ca",0.02,0.341932649780868
"Ca 2","Ca",2,0.385936122143667
"Zn 2","Zn",2,0.385112873463388
"Na 5","Na",5,0.391863262055216
"Zn 5","Zn",5,0.377052930876069
"Na 0","Na",0,0.424083838167643
"Na 0.1","Na",0.1,0.427709772754962
"Na 10","Na",10,0.40190253501074
"Zn 10","Zn",10,0.381878098874534
"Zn 100","Zn",100,0.178685350632905
"Na 0.05","Na",0.05,0.412899853520759
"Na 0.2","Na",0.2,0.423584618708126
"Zn 20","Zn",20,0.388624687928566
"Na 0.1","Na",0.1,0.4131389866164
"Na 0.02","Na",0.02,0.418554255870509
"Na 0.5","Na",0.5,0.422361943151528
"Na 20","Na",20,0.422856193494015
"Fe 0","Fe",0,0.40110477552882
"Na 0.05","Na",0.05,0.404620059238066
"Na 2","Na",2,0.398619489130538
"Na 100","Na",100,0.359031100057327
"Zn 2","Zn",2,0.373628809821721
"Fe 0","Fe",0,0.390855375228458
"Na 0.2","Na",0.2,0.392779454742722
"Na 50","Na",50,0.400556236606275
"Zn 50","Zn",50,0.38706089426397
"Mg 0.05","Mg",0.05,0.388416566788408
"Mg 5","Mg",5,0.403800601539587
"Zn 0.02","Zn",0.02,0.24146929649972
"Zn 0.1","Zn",0.1,0.275770091389657
"Zn 0.01","Zn",0.01,0.215410524911836
"Zn 0.2","Zn",0.2,0.330062197712299
"K 0.5","K",0.5,0.394934339122548
"Mg 20","Mg",20,0.414798151876527
"Mg 0.1","Mg",0.1,0.389911916056992
"Mg 10","Mg",10,0.405607538065053
"Zn 0.01","Zn",0.01,0.218592425285805
"Zn 0.2","Zn",0.2,0.348444551820059
"K 0.5","K",0.5,0.379965103314261
"Zn 0.01","Zn",0.01,0.240824380875076
"Zn 0.5","Zn",0.5,0.393223024665027
"K 2","K",2,0.404069347512108
"Mg 0.2","Mg",0.2,0.39374461222778
"Mg 50","Mg",50,0.400567098580593
"Mg 0.2","Mg",0.2,0.377478880244423
"Mg 20","Mg",20,0.380340574185432
"Zn 0.5","Zn",0.5,0.388558980032246
"K 2","K",2,0.396771865281383
"Zn 100","Zn",100,0.158463906529593
"K 5","K",5,0.40440404855312
"Mg 0.5","Mg",0.5,0.385696310885938
"Mg 0.5","Mg",0.5,0.390180119313434
"Mg 50","Mg",50,0.390433208044739
"Mo 50","Mo",50,0.0960963298057009
"Zn 0.01","Zn",0.01,0.235816949595038
"Zn 100","Zn",100,0.395033418173416
"K 5","K",5,0.415664902863635
"Zn 0.02","Zn",0.02,0.235579157611659
"K 0.1","K",0.1,0.275348665110823
"K 10","K",10,0.412513054739781
"Mg 2","Mg",2,0.393810069371876
"Mo 100","Mo",100,0.103534128877907
"Zn 0.02","Zn",0.02,0.236708205299233
"K 0.1","K",0.1,0.270903885516364
"K 10","K",10,0.405257278178793
"Zn 0.05","Zn",0.05,0.27061150770581
"K 0.2","K",0.2,0.337312610349713
"Mg 0.05","Mg",0.05,0.372499894030585
"Mg 5","Mg",5,0.391701841895611
"Mg 2","Mg",2,0.390611363024051
"Zn 0.05","Zn",0.05,0.264590559235444
"K 0.2","K",0.2,0.335196596353727
"Zn 0.02","Zn",0.02,0.264369024165234
"Zn 0.1","Zn",0.1,0.303458816592019
"Mg 0.1","Mg",0.1,0.376752685062007
"Mg 10","Mg",10,0.390551417040098
