,1,2,3,4,5,6,7,8,9,10,11,12
"A","Empty","Empty","Empty","AllEle_prepQC","AllEle_prepQC","AllEle_prepQC","Empty","Empty","Empty","Empty","Empty","Empty"
"B","Empty","Cu_0x","Cu_x/5","AllEle","Fe_x/20","Fe_5x","Mn_x/100","AllEle","Mn_100x","Mo_x/5","Mo_20x","Empty"
"C","AllEle_New","Cu_x/100","Cu_x/2","Cu_50x","Fe_x/5","Fe_10x","Mn_x/50","Mn_2x","Mo_0x","Mo_x/2","Empty","Empty"
"D","AllEle_New","AllEle","Cu_2x","Cu_100x","AllEle","Fe_20x","Mn_x/20","Mn_5x","Mo_x/100","Mo_2x","Empty","Empty"
"E","AllEle_New","Cu_x/50","Cu_5x","Fe_0x","Fe_x/10","Fe_50x","Mn_x/10","Mn_10x","Mo_x/50","Mo_5x","Mn_0x","Empty"
"F","Empty","Cu_x/20","Cu_10x","Fe_x/100","Fe_x/2","Mn_0x","Mn_x/5","Mn_20x","Mo_x/20","AllEle","Mn_x/100","Empty"
"G","Empty","Cu_x/10","Cu_20x","Fe_x/50","Fe_2x","AllEle","Mn_x/2","Mn_50x","Mo_x/10","Mo_10x","Mn_x/50","Empty"
"H","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty"
