,1,2,3,4,5,6,7,8,9,10,11,12
"A","Empty","Empty","Empty","AllEle_prepQC","AllEle_prepQC","AllEle_prepQC","Empty","Empty","Empty","Empty","Empty","Empty"
"B","Empty","B_0x","B_x/5","AllEle","Ca_x/20","Ca_5x","B_x/20","AllEle","Ca_x/100","Ca_2x","B_x/50","Empty"
"C","AllEle_New","B_x/100","B_x/2","B_50x","Ca_x/10","Ca_10x","B_x/10","B_10x","Ca_x/50","Ca_5x","B_x/20","Empty"
"D","AllEle_New","AllEle","B_2x","B_100x","AllEle","B_0x","B_x/5","B_20x","Ca_x/20","Ca_10x","B_x/10","Empty"
"E","AllEle_New","B_x/50","B_5x","Ca_0x","Ca_x/5","B_x/100","B_x/2","B_50x","Ca_x/10","B_0x","B_x/5","Empty"
"F","Empty","B_x/20","B_10x","Ca_x/100","Ca_x/2","B_x/50","B_2x","B_100x","Ca_x/5","AllEle","B_x/2","Empty"
"G","Empty","B_x/10","B_20x","Ca_x/50","Ca_2x","AllEle","B_5x","Ca_0x","Ca_x/2","B_x/100","B_2x","Empty"
"H","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty"
