,1,2,3,4,5,6,7,8,9,10,11,12
"A","Empty","Empty","Empty","AllEle_prepQC","AllEle_prepQC","AllEle_prepQC","Empty","Empty","Empty","Empty","Empty","Empty"
"B","Empty","B_5x","Cu_x/100","AllEle","Cu_100x","Fe_x/10","Fe_10x","AllEle","Cu_5x","Fe_x/100","Fe_x/2","Empty"
"C","AllEle_New","B_10x","Cu_x/50","Cu_2x","Fe_0x","Fe_x/5","Fe_20x","Cu_x/20","Cu_10x","Fe_x/50","Fe_2x","Empty"
"D","AllEle_New","AllEle","Cu_x/20","Cu_5x","AllEle","Fe_x/2","Fe_50x","Cu_x/10","Cu_20x","Fe_x/20","Fe_5x","Empty"
"E","AllEle_New","B_20x","Cu_x/10","Cu_10x","Fe_x/100","Fe_2x","Cu_0x","Cu_x/5","Cu_50x","Fe_x/10","Fe_10x","Empty"
"F","B_100x","B_50x","Cu_x/5","Cu_20x","Fe_x/50","Fe_5x","Cu_x/100","Cu_x/2","Cu_100x","AllEle","Fe_20x","Empty"
"G","Empty","Cu_0x","Cu_x/2","Cu_50x","Fe_x/20","AllEle","Cu_x/50","Cu_2x","Fe_0x","Fe_x/5","Fe_50x","Empty"
"H","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty"
