,1,2,3,4,5,6,7,8,9,10,11,12
"A","Empty","Empty","Empty","AllEle_prepQC","AllEle_prepQC","AllEle_prepQC","Empty","Empty","Empty","Empty","Empty","Empty"
"B","Empty","Mn_x/20","Mn_5x","Mo_x/100","Mo_2x","Empty","Mn_x/10","AllEle","Mo_x/50","Mo_5x","Na_0x","Empty"
"C","Empty","Mn_x/10","Mn_10x","Mo_x/50","Mo_5x","Mn_0x","Mn_x/5","Mn_20x","Mo_x/20","Mo_10x","Na_x/100","Empty"
"D","AllEle_New","AllEle","Mn_20x","Mo_x/20","AllEle","Mn_x/100","Mn_x/2","Mn_50x","Mo_x/10","Mo_20x","Na_x/50","Empty"
"E","AllEle_New","Mn_x/5","Mn_50x","Mo_x/10","Mo_10x","Mn_x/50","Mn_2x","Mn_100x","Mo_x/5","Empty","Na_x/20","Empty"
"F","AllEle_New","Mn_x/2","Mn_100x","Mo_x/5","Mo_20x","Mn_x/20","Mn_5x","Mo_0x","Mo_x/2","AllEle","Na_x/10","Empty"
"G","Empty","Mn_2x","Mo_0x","Mo_x/2","Empty","AllEle","Mn_10x","Mo_x/100","Mo_2x","Empty","Na_x/5","Empty"
"H","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty"
