,1,2,3,4,5,6,7,8,9,10,11,12
"A","Empty","Empty","Empty","AllEle_prepQC","AllEle_prepQC","AllEle_prepQC","Empty","Cu_0x+DMSO","Empty","Empty","Empty","Empty"
"B","Empty","Fe_0x+DiP_150uM","Cu_0x+DfP_300uM","AllEle","Cu_0x+BCS_100uM","Ca_0x+EGTA_2.5mM","Cu_0x+DfP_100uM","AllEle","Cu_0x+NeC_1000uM","Cu_0x+BCS_500uM","Ca_0x+EGTA_25mM","Empty"
"C","AllEle_New","Fe_0x+DiP_200uM","Cu_0x+DfP_400uM","Fe_0x+DfP_400uM","Cu_0x+BCS_200uM","Ca_0x+EGTA_5mM","Cu_0x+DfP_200uM","Fe_0x+DfP_200uM","Cu_0x+NeC_2000uM","Ca_0x+EGTA_2.5mM","Cu_0x+DMSO_1.28","Empty"
"D","AllEle_New","AllEle","Cu_0x+DfP_500uM","Cu_0x+NeC_500uM","AllEle","Ca_0x+EGTA_10mM","Cu_0x+DfP_300uM","Fe_0x+DfP_300uM","Cu_0x+BCS_100uM","Ca_0x+EGTA_5mM","Cu_0x+DMSO_1.29","Empty"
"E","AllEle_New","Fe_0x+DiP_250uM","Fe_0x+DfP_100uM","Cu_0x+NeC_750uM","Cu_0x+BCS_300uM","Ca_0x+EGTA_15mM","Cu_0x+DfP_400uM","Fe_0x+DfP_400uM","Cu_0x+BCS_200uM","Ca_0x+EGTA_10mM","Cu_0x+DMSO_1.30","Empty"
"F","Empty","Cu_0x+DfP_100uM","Fe_0x+DfP_200uM","Cu_0x+NeC_1000uM","Cu_0x+BCS_400uM","Ca_0x+EGTA_25mM","Cu_0x+DfP_500uM","Cu_0x+NeC_500uM","Cu_0x+BCS_300uM","AllEle","Cu_0x+DMSO_1.31","Empty"
"G","Empty","Cu_0x+DfP_200uM","Fe_0x+DfP_300uM","Cu_0x+NeC_2000uM","Cu_0x+BCS_500uM","AllEle","Fe_0x+DfP_100uM","Cu_0x+NeC_750uM","Cu_0x+BCS_400uM","Ca_0x+EGTA_15mM","Cu_0x+DMSO_1.32","Empty"
"H","Empty","Empty","Empty","Cu_0x+DMSO","Empty","Empty","Empty","Empty","Empty","Empty","Empty","Empty"
