"","ORF","term"
"212","YER003C","unspecific"
"213","YER010C","unspecific"
"214","YER017C","unspecific"
"215","YER019W","unspecific"
"216","YER020W","unspecific"
"217","YER028C","unspecific"
"218","YER040W","unspecific"
"219","YER049W","unspecific"
"220","YER051W","unspecific"
"221","YER055C","unspecific"
"222","YER062C","unspecific"
"223","YER065C","unspecific"
"224","YER068W","unspecific"
"225","YER078C","unspecific"
"226","YER089C","unspecific"
"227","YER090W","unspecific"
"228","YER091C","unspecific"
"229","YER099C","unspecific"
"230","YER116C","unspecific"
"231","YER122C","unspecific"
"232","YER130C","unspecific"
"233","YER133W","unspecific"
"234","YER134C","unspecific"
"235","YER137C","unspecific"
"236","YER138C","unspecific"
"237","YER139C","unspecific"
"238","YER160C","unspecific"
"239","YER166W","unspecific"
"240","YER169W","unspecific"
"241","YER171W","unspecific"
"242","YER174C","unspecific"
"243","YER184C","unspecific"
"244","YFL002W-A","unspecific"
"245","YFL016C","unspecific"
"246","YFL021W","unspecific"
"247","YFL041W","unspecific"
"248","YFL044C","unspecific"
"249","YFL052W","unspecific"
"250","YFR004W","unspecific"
"251","YFR005C","unspecific"
"252","YFR006W","unspecific"
"253","YFR019W","unspecific"
"254","YFR027W","unspecific"
"255","YFR037C","unspecific"
"256","YFR044C","unspecific"
"257","YGL008C","unspecific"
"258","YGL009C","unspecific"
"259","YGL013C","unspecific"
"260","YGL023C","unspecific"
"261","YGL035C","unspecific"
"262","YGL037C","unspecific"
"263","YGL040C","unspecific"
"264","YGL043W","unspecific"
"265","YGL055W","unspecific"
"266","YGL062W","unspecific"
"267","YGL067W","unspecific"
"268","YGL070C","unspecific"
"269","YGL071W","unspecific"
"270","YGL085W","unspecific"
"271","YGL089C","unspecific"
"272","YGL091C","unspecific"
"273","YGL094C","unspecific"
"274","YGL106W","unspecific"
"275","YGL122C","unspecific"
"276","YGL131C","unspecific"
"277","YGL154C","unspecific"
"278","YGL155W","unspecific"
"279","YGL156W","unspecific"
"280","YGL162W","unspecific"
"281","YGL166W","unspecific"
"282","YGL167C","unspecific"
"283","YGL181W","unspecific"
"284","YGL187C","unspecific"
"285","YGL209W","unspecific"
"286","YGL234W","unspecific"
"287","YGL243W","unspecific"
"288","YGL246C","unspecific"
"289","YGL251C","unspecific"
"290","YGL254W","unspecific"
"291","YGL256W","unspecific"
"292","YGR024C","unspecific"
"293","YGR027W-B","unspecific"
"294","YGR038C-B","unspecific"
"295","YGR044C","unspecific"
"296","YGR058W","unspecific"
"297","YGR060W","unspecific"
"298","YGR061C","unspecific"
"299","YGR063C","unspecific"
"300","YGR067C","unspecific"
"301","YGR071C","unspecific"
"302","YGR087C","unspecific"
"303","YGR088W","unspecific"
"304","YGR100W","unspecific"
"305","YGR109W-A","unspecific"
"306","YGR109W-B","unspecific"
"307","YGR123C","unspecific"
"308","YGR144W","unspecific"
"309","YGR161C-D","unspecific"
"310","YGR161W-B","unspecific"
"311","YGR181W","unspecific"
"312","YGR184C","unspecific"
"313","YGR208W","unspecific"
"314","YGR211W","unspecific"
"315","YGR217W","unspecific"
"316","YGR234W","unspecific"
"317","YGR240C","unspecific"
"318","YGR244C","unspecific"
"319","YGR246C","unspecific"
"320","YGR254W","unspecific"
"321","YGR258C","unspecific"
"322","YGR267C","unspecific"
"323","YGR286C","unspecific"
"324","YGR288W","unspecific"
"325","YHL009W-B","unspecific"
"326","YHL010C","unspecific"
"327","YHL011C","unspecific"
"328","YHL021C","unspecific"
"329","YHL022C","unspecific"
"330","YHL027W","unspecific"
"331","YHR005C","unspecific"
"332","YHR005C-A","unspecific"
"333","YHR006W","unspecific"
"334","YHR007C","unspecific"
"335","YHR008C","unspecific"
"336","YHR012W","unspecific"
"337","YHR021C","unspecific"
"338","YHR024C","unspecific"
"339","YHR035W","unspecific"
"340","YHR040W","unspecific"
"341","YHR043C","unspecific"
"342","YHR044C","unspecific"
"343","YHR046C","unspecific"
"344","YHR047C","unspecific"
"345","YHR050W","unspecific"
"346","YHR051W","unspecific"
"347","YHR053C","unspecific"
"348","YHR055C","unspecific"
"349","YHR056C","unspecific"
"350","YHR076W","unspecific"
"351","YHR079C","unspecific"
"352","YHR090C","unspecific"
"353","YHR098C","unspecific"
"354","YHR111W","unspecific"
"355","YHR113W","unspecific"
"356","YHR115C","unspecific"
"357","YHR132C","unspecific"
"358","YHR134W","unspecific"
"359","YHR143W-A","unspecific"
"360","YHR144C","unspecific"
"361","YHR164C","unspecific"
"362","YHR174W","unspecific"
"363","YHR178W","unspecific"
"364","YHR192W","unspecific"
"365","YHR201C","unspecific"
"366","YHR204W","unspecific"
"367","YHR214C-B","unspecific"
"368","YHR216W","unspecific"
"369","YIL003W","unspecific"
"370","YIL021W","unspecific"
"371","YIL030C","unspecific"
"372","YIL044C","unspecific"
"373","YIL048W","unspecific"
"374","YIL053W","unspecific"
"375","YIL072W","unspecific"
"376","YIL079C","unspecific"
"377","YIL082W-A","unspecific"
"378","YIL094C","unspecific"
"379","YIL106W","unspecific"
"380","YIL108W","unspecific"
"381","YIL109C","unspecific"
"382","YIL130W","unspecific"
"383","YIL137C","unspecific"
"384","YIL140W","unspecific"
"385","YIL147C","unspecific"
"386","YIL150C","unspecific"
"387","YIR006C","unspecific"
"388","YIR008C","unspecific"
"389","YIR013C","unspecific"
"390","YIR015W","unspecific"
"391","YIR023W","unspecific"
"392","YIR027C","unspecific"
"393","YJL005W","unspecific"
"394","YJL025W","unspecific"
"395","YJL026W","unspecific"
"396","YJL035C","unspecific"
"397","YJL056C","unspecific"
"398","YJL079C","unspecific"
"399","YJL089W","unspecific"
"400","YJL100W","unspecific"
"401","YJL103C","unspecific"
"402","YJL105W","unspecific"
"403","YJL110C","unspecific"
"404","YJL113W","unspecific"
"405","YJL121C","unspecific"
"406","YJL130C","unspecific"
"407","YJL157C","unspecific"
"408","YJL167W","unspecific"
"409","YJL172W","unspecific"
"410","YJL187C","unspecific"
"411","YJL200C","unspecific"
"412","YJL206C","unspecific"
"413","YJL208C","unspecific"
"414","YJL210W","unspecific"
"415","YJR016C","unspecific"
"416","YJR024C","unspecific"
"417","YJR025C","unspecific"
"418","YJR027W","unspecific"
"419","YJR029W","unspecific"
"420","YJR048W","unspecific"
"421","YJR055W","unspecific"
"422","YJR063W","unspecific"
"423","YJR069C","unspecific"
"424","YJR070C","unspecific"
"425","YJR078W","unspecific"
"426","YJR089W","unspecific"
"427","YJR094W-A","unspecific"
"428","YJR097W","unspecific"
"429","YJR104C","unspecific"
"430","YJR109C","unspecific"
"431","YJR117W","unspecific"
"432","YJR119C","unspecific"
"433","YJR126C","unspecific"
"434","YJR127C","unspecific"
"435","YJR131W","unspecific"
"436","YJR135W-A","unspecific"
"437","YJR137C","unspecific"
"438","YJR159W","unspecific"
"439","YKL005C","unspecific"
"440","YKL011C","unspecific"
"441","YKL015W","unspecific"
"442","YKL025C","unspecific"
"443","YKL028W","unspecific"
"444","YKL029C","unspecific"
"445","YKL034W","unspecific"
"446","YKL035W","unspecific"
"447","YKL038W","unspecific"
"448","YKL040C","unspecific"
"449","YKL045W","unspecific"
"450","YKL048C","unspecific"
"451","YKL056C","unspecific"
"452","YKL059C","unspecific"
"453","YKL060C","unspecific"
"454","YKL062W","unspecific"
"455","YKL067W","unspecific"
"456","YKL084W","unspecific"
"457","YKL087C","unspecific"
"458","YKL103C","unspecific"
"459","YKL113C","unspecific"
"460","YKL114C","unspecific"
"461","YKL127W","unspecific"
"462","YKL132C","unspecific"
"463","YKL134C","unspecific"
"464","YKL137W","unspecific"
"465","YKL141W","unspecific"
"466","YKL156W","unspecific"
"467","YKL157W","unspecific"
"468","YKL160W","unspecific"
"469","YKL181W","unspecific"
"470","YKL185W","unspecific"
"471","YKL190W","unspecific"
"472","YKL220C","unspecific"
"473","YKL222C","unspecific"
"474","YKR002W","unspecific"
"475","YKR017C","unspecific"
"476","YKR023W","unspecific"
"477","YKR029C","unspecific"
"478","YKR034W","unspecific"
"479","YKR038C","unspecific"
"480","YKR064W","unspecific"
"481","YKR066C","unspecific"
"482","YKR071C","unspecific"
"483","YKR079C","unspecific"
"484","YKR087C","unspecific"
"485","YKR090W","unspecific"
"486","YLL009C","unspecific"
"487","YLL018C-A","unspecific"
"488","YLL027W","unspecific"
"489","YLL029W","unspecific"
"490","YLL041C","unspecific"
"491","YLL051C","unspecific"
"492","YLL054C","unspecific"
"493","YLL057C","unspecific"
"494","YLL062C","unspecific"
"495","YLR005W","unspecific"
"496","YLR007W","unspecific"
"497","YLR013W","unspecific"
"498","YLR014C","unspecific"
"499","YLR024C","unspecific"
"500","YLR032W","unspecific"
"501","YLR034C","unspecific"
"502","YLR035C-A","unspecific"
"503","YLR044C","unspecific"
"504","YLR056W","unspecific"
"505","YLR057W","unspecific"
"506","YLR060W","unspecific"
"507","YLR070C","unspecific"
"508","YLR074C","unspecific"
"509","YLR080W","unspecific"
"510","YLR090W","unspecific"
"511","YLR098C","unspecific"
"512","YLR116W","unspecific"
"513","YLR131C","unspecific"
"514","YLR134W","unspecific"
"515","YLR136C","unspecific"
"516","YLR148W","unspecific"
"517","YLR151C","unspecific"
"518","YLR157C-B","unspecific"
"519","YLR163C","unspecific"
"520","YLR164W","unspecific"
"521","YLR167W","unspecific"
"522","YLR174W","unspecific"
"523","YLR180W","unspecific"
"524","YLR185W","unspecific"
"525","YLR205C","unspecific"
"526","YLR214W","unspecific"
"527","YLR215C","unspecific"
"528","YLR227W-B","unspecific"
"529","YLR228C","unspecific"
"530","YLR244C","unspecific"
"531","YLR245C","unspecific"
"532","YLR247C","unspecific"
"533","YLR250W","unspecific"
"534","YLR256W","unspecific"
"535","YLR266C","unspecific"
"536","YLR277C","unspecific"
"537","YLR278C","unspecific"
"538","YLR298C","unspecific"
"539","YLR304C","unspecific"
"540","YLR318W","unspecific"
"541","YLR323C","unspecific"
"542","YLR355C","unspecific"
"543","YLR373C","unspecific"
"544","YLR375W","unspecific"
"545","YLR377C","unspecific"
"546","YLR387C","unspecific"
"547","YLR388W","unspecific"
"548","YLR389C","unspecific"
"549","YLR401C","unspecific"
"550","YLR403W","unspecific"
