Cluster,ORF,Gene,Ag_10uM_Fold Change,Ag_10uM_P-value,Ag_20uM_Fold Change,Ag_20uM_P-value,As_400uM_Fold Change,As_400uM_P-value,As_1250uM_Fold Change,As_1250uM_P-value,Cd_5uM_Fold Change,Cd_5uM_P-value,Cd_25uM_Fold Change,Cd_25uM_P-value,Cr_400uM_Fold Change,Cr_400uM_P-value,Cr_1700uM_Fold Change,Cr_1700uM_P-value,Cu_5000uM_Fold Change,Cu_5000uM_P-value,Cu_9000uM_Fold Change,Cu_9000uM_P-value,Hg_19uM_Fold Change,Hg_19uM_P-value,Hg_47uM_Fold Change,Hg_47uM_P-value,Zn_1000uM_Fold Change,Zn_1000uM_P-value,Zn_2000uM_Fold Change,Zn_2000uM_P-value
I,YML113W,DAT1,1.58522,4.95055E-09,2.06964,0,1.74897,1.85972E-35,1.53185,7.12324E-29,1.71349,0,2.06306,0,1.94132,0,1.32575,9.771E-10,1.14685,0.00537,-1.28352,0.00036,2.05155,0,1.84426,0,1.64365,1.64567E-33,1.93034,0
I,YOR383C,FIT3,2.19127,5.56627E-38,1.96407,1.35963E-25,2.01795,0,3.22162,0,1.18821,3.42423E-08,1.82942,0,1.24367,4.88849E-06,2.22048,1.76125E-34,1.53514,1.50958E-15,2.1207,1.68156E-44,1.24812,0.00003,1.34701,1.85063E-07,5.70937,0,7.78731,0
I,YCL068C,YCL068C,1.69587,0.00014,2.1346,4.30528E-13,1.85446,1.38985E-26,2.09165,2.45807E-22,1.61015,9.47138E-11,1.58411,1.03903E-15,1.7107,1.80727E-10,1.63765,1.83074E-08,1.52155,9.28776E-14,2.25726,1.99249E-32,1.70175,2.83312E-32,1.79602,1.27443E-25,2.40848,1.22522E-16,2.37304,3.35575E-17
I,YIR032C,DAL3,1.71926,1.97147E-06,1.52831,1.73313E-09,2.07997,1.46669E-08,2.93561,1.32205E-18,1.12231,0.36133,1.33281,0.02716,1.46435,0.00017,1.40563,0.00778,2.70308,0,3.51675,0,1.39988,0.00258,1.71862,1.09412E-08,1.41782,0.00614,1.3976,5.01338E-06
I,YDL151C,BUD30,1.55571,1.49335E-24,2.03866,7.40699E-29,1.61276,2.12675E-17,1.38275,2.2625E-15,1.44046,4.83402E-15,1.30729,1.52793E-06,1.45338,6.75541E-13,1.38,1.61855E-12,1.28693,0.01065,1.79284,3.46798E-08,1.73576,3.42865E-32,1.67198,7.49005E-21,1.87476,0,2.15498,9.70399E-42
I,YER042W,MSRA,1.61231,3.92742E-17,1.45546,5.76093E-09,3.89598,0,5.94192,0,1.54851,8.32965E-10,1.64171,1.45496E-24,2.07047,0,1.697,6.77143E-15,2.70744,0,3.72776,0,1.34103,3.5694E-12,1.22552,0.00075,1.23387,0.00016,1.16985,0.05835
I,YJL122W,YJL122W,2.2024,0,2.46331,0,1.64829,9.35763E-21,1.2317,4.01461E-09,1.94416,0,2.00169,2.6856E-39,1.89913,1.79667E-29,1.50784,1.44334E-43,1.03021,0.62017,-1.06407,0.42262,2.07455,0,1.44743,6.21163E-21,2.22479,0,2.2551,0
I,YML090W,YML090W,2.89923,4.4479E-34,3.64537,0,3.21695,0,3.54491,0,2.3166,0,2.22232,0,2.74628,0,2.47872,0,2.06903,9.94892E-25,3.43711,0,2.59488,0,3.02323,0,4.33144,0,4.87173,0
I,YKR012C,YKR012C,3.64884,3.8259E-09,3.26635,0,3.37412,5.81395E-37,7.92032,0,2.36211,2.37534E-20,2.14965,4.30157E-10,2.58711,0,2.72707,5.18048E-20,2.25869,1.33263E-13,4.59331,0,2.67483,5.66237E-28,2.85814,0,5.70995,2.61342E-42,5.36162,4.53284E-11
I,YDR504C,SPG3,1.04087,0.15871,-1.03161,0.19518,1.49757,2.21093E-23,2.20959,0,1.33247,1.34882E-30,1.40157,1.53993E-19,1.74078,0,1.82073,0,1.83096,0,2.0748,0,1.27463,2.58611E-20,1.40293,1.98868E-26,1.32749,6.15587E-22,1.26664,1.56029E-10
