Cluster,ORF,Gene,Ag_10uM_Fold Change,Ag_10uM_P-value,Ag_20uM_Fold Change,Ag_20uM_P-value,As_400uM_Fold Change,As_400uM_P-value,As_1250uM_Fold Change,As_1250uM_P-value,Cd_5uM_Fold Change,Cd_5uM_P-value,Cd_25uM_Fold Change,Cd_25uM_P-value,Cr_400uM_Fold Change,Cr_400uM_P-value,Cr_1700uM_Fold Change,Cr_1700uM_P-value,Cu_5000uM_Fold Change,Cu_5000uM_P-value,Cu_9000uM_Fold Change,Cu_9000uM_P-value,Hg_19uM_Fold Change,Hg_19uM_P-value,Hg_47uM_Fold Change,Hg_47uM_P-value,Zn_1000uM_Fold Change,Zn_1000uM_P-value,Zn_2000uM_Fold Change,Zn_2000uM_P-value
I,YHR055C,CUP1,11.73016,0,11.70352,0,2.7515,3.51144E-26,4.28389,0,-1.77866,4.21937E-06,-1.82688,1.97056E-08,-2.15916,2.34225E-15,-1.69011,0.00004,33.13061,0,44.72414,0,-2.17537,1.95412E-23,-2.75169,1.38366E-33,1.16324,0.00149,1.26859,0.0298
I,YJL127W-A,YJL127W-A,1.80192,1.27363E-32,2.00648,3.16531E-19,1.66099,1.42613E-14,1.6359,4.45981E-09,1.5838,4.66935E-20,1.39849,1.16266E-09,1.61207,8.80824E-20,1.51159,1.49751E-32,1.53888,0.00003,2.05582,1.52032E-19,1.84115,0,1.78018,5.60519E-44,2.14453,0,2.05222,0
I,YDR034W-B,YDR034W-B,1.43404,4.40902E-09,1.7119,3.13909E-28,1.57127,2.01118E-13,2.33246,0,1.33665,1.68244E-07,1.35748,9.71032E-13,1.31563,3.23766E-06,1.40168,9.68582E-13,1.45112,0.00029,2.22308,0,1.43559,3.9998E-12,1.65592,9.61382E-26,1.85878,3.64191E-14,1.9395,2.59145E-26
I,YML058W-A,HUG1,1.17415,0.00388,1.48145,0.00046,1.32445,0.00046,2.47786,0,1.09582,0.24815,1.07581,0.24862,1.14881,0.01004,1.13743,0.03881,1.19093,0.17315,1.26612,0.00021,1.18241,0.00068,1.22522,0.00077,1.39827,2.41784E-06,1.35883,0.00019
I,YAL064C-A,YAL064C-A,1.88506,1.20141E-08,2.04406,4.2039E-45,2.05469,1.22765E-18,1.76225,2.17095E-36,1.47846,2.48599E-07,1.56115,1.87123E-36,1.79858,2.46411E-40,1.54434,4.78632E-16,1.29494,0.00004,2.13139,1.93495E-20,1.89688,9.40778E-15,2.05137,4.72635E-12,2.17676,7.7471E-09,2.60118,1.47532E-33
I,YOL013W-A,YOL013W-A,2.1313,2.7335E-11,2.77616,1.08708E-29,2.40299,6.47783E-37,2.78739,0,1.91559,1.69752E-15,1.88653,4.37432E-40,2.16685,0,2.0147,0,1.85725,4.99169E-15,3.36315,0,2.05537,1.87029E-19,2.46935,1.45128E-24,3.09676,2.94369E-24,2.75308,5.2237E-25
I,YCR102W-A,YCR102W-A,2.19384,7.61857E-06,2.36335,8.09265E-17,2.4529,2.40309E-23,2.44669,5.1848E-44,1.72661,4.75428E-06,1.39992,0.00028,1.75037,5.20104E-10,1.78338,5.64248E-23,1.19404,0.08181,2.05889,0.00009,1.6677,7.41644E-06,1.84963,3.62838E-06,1.82955,1.36741E-08,2.29617,2.12809E-15
I,YDL130W-A,AIS2,1.41417,3.05462E-07,1.29899,3.29991E-08,1.07436,0.15087,1.43919,1.72473E-08,1.14053,0.01147,1.18242,0.00383,1.41373,5.59317E-12,1.52034,2.1985E-14,1.93625,1.0644E-33,2.53631,7.95203E-25,1.21269,0.00004,1.34002,2.84477E-10,1.33534,1.13465E-08,1.19688,7.67263E-11
I,YKL096W-A,CWP2,1.39758,1.11498E-06,1.34569,1.69795E-11,1.24158,5.10284E-07,-1.06523,0.22015,1.08941,0.11362,1.11884,0.04566,1.56111,2.08518E-23,1.35966,4.24877E-12,1.99148,0,2.10551,0,1.22372,6.48764E-07,1.37758,7.49667E-11,1.19508,0.01885,1.33207,3.81156E-07
I,Q0130,ATP9,2.4348,0,1.61885,1.00339E-18,2.65309,0,9.01983,0,1.50592,1.23961E-09,2.91372,5.44124E-42,3.31959,0,3.58895,0,1.76171,1.21238E-09,1.99586,0,2.74194,0,2.9147,1.32738E-26,2.42895,1.41919E-27,2.90143,0
I,Q0105,COB,1.41369,0.0011,1.18783,1.93398E-14,4.74904,0,6.76299,0,3.11716,0,3.82503,0,4.60438,0,3.75604,0,2.44281,4.86242E-11,2.72363,3.6272E-34,7.4154,0,9.21931,0,1.94058,1.61241E-09,1.90699,3.90039E-24
I,Q0085,ATP6,1.39884,0.01292,1.65977,4.50006E-15,1.85617,1.52945E-20,2.08646,2.30903E-30,1.55183,9.29885E-17,1.38312,0.00008,1.72104,1.2395E-09,1.53116,1.02374E-20,1.40407,0.00005,1.38791,4.55446E-08,2.00632,1.80792E-11,2.18692,9.70525E-15,1.85357,1.53255E-09,2.30037,2.93126E-13
I,Q0080,AAP1,1.69522,2.29845E-07,1.63795,5.43461E-13,3.52494,0,4.99156,0,2.15148,9.39935E-41,2.99614,5.59538E-42,3.2565,0,2.86936,0,1.77028,5.12941E-10,2.18129,1.35243E-38,3.51548,2.06858E-30,4.49918,0,2.54705,5.20503E-20,2.64663,9.21596E-25
I,Q0075,aI5,2.15572,0.54699,1.63783,0.02976,3.41633,8.65063E-17,1.7046,1.9989E-06,1.72814,0.00164,1.97753,1.399E-09,1.9656,1.10592E-07,1.77166,0.00036,1.30789,0.26204,1.1245,0.67212,1.96461,0.00587,2.43531,0.00263,1.6529,0.00003,1.68468,0.46754
I,Q0055,AI2,1.56666,7.42833E-16,1.62165,1.91339E-18,3.19805,0,3.6301,0,2.18686,0,2.82611,0,2.89027,0,2.47209,0,1.66204,1.58385E-12,1.46283,3.43189E-27,2.32176,0,3.30829,0,1.71315,8.17837E-34,1.97041,4.39692E-20
I,YOL052C-A,DDR2,1.20314,0.01333,1.27735,4.31903E-09,1.14372,0.01698,2.68855,0,1.18224,1.17424E-12,1.10206,0.04762,1.05145,0.30923,1.11236,2.0014E-06,1.43009,4.49652E-11,2.75255,0,1.3053,3.35034E-40,1.25344,3.62697E-12,1.22496,6.7469E-10,1.33661,0.00054
I,Q0050,AI1,3.71325,0.00021,1.62521,0.87072,5.44034,0,4.80039,0,2.71801,1.00974E-10,4.18237,0,3.97445,0,4.2989,0,2.30715,0.00016,2.36349,4.4901E-06,5.54514,0,8.89662,9.3897E-32,3.51883,0,2.18362,0.15573
I,Q0045,COX1,1.31312,0.00296,1.43967,1.28975E-06,2.22214,3.69455E-14,2.06339,3.6109E-39,1.46395,8.67542E-06,1.45168,4.91016E-08,1.36601,0.00033,1.05876,0.5171,1.35705,6.59854E-08,1.4231,2.58231E-06,1.61294,1.98214E-21,1.88217,2.31734E-06,1.52409,3.70809E-07,1.70238,1.91757E-10
I,Q0017,Q0017,1.22145,2.00919E-06,1.71069,7.65047E-15,1.2268,9.72438E-09,1.33014,0.01422,1.61115,3.99301E-07,1.92492,7.16204E-09,1.68658,4.08169E-10,1.64767,2.78918E-07,1.58037,3.02842E-07,2.19377,1.91524E-08,2.35957,6.67762E-23,1.95776,2.24208E-44,2.47996,3.03347E-40,2.21303,0
I,YGL178W,MPT5,1.91446,9.15778E-33,1.8538,0,1.66945,0,1.60352,0,1.53924,0,1.42629,0,2.1212,0,2.07437,0,1.29808,3.07985E-16,1.40382,0,1.55962,0,1.50617,0,2.02169,0,1.81966,0
I,YMR287C,DSS1,1.12176,0.04797,-1.00521,0.9594,1.57336,1.20886E-07,2.07377,0,1.34802,3.87762E-10,1.42523,3.73185E-13,1.65608,5.79522E-28,1.30972,0.00022,1.61596,1.58013E-08,1.85803,9.63831E-26,1.62169,2.70596E-22,1.68892,1.12476E-23,1.36745,2.51143E-08,1.32054,3.72383E-09
I,YGR188C,BUB1,1.34135,0.00004,1.68528,1.31216E-08,1.33988,0.00029,2.14369,5.67585E-32,1.2547,0.00526,1.32177,2.55345E-17,1.48481,8.299E-13,1.52427,2.73064E-08,1.28495,0.00081,1.21837,0.0002,1.40248,0.00044,1.42388,8.44769E-06,1.38001,3.45113E-07,1.49038,9.48225E-12
I,YBL014C,RRN6,1.70448,9.83468E-14,1.88524,0,1.57588,2.96431E-40,1.63557,1.83463E-32,1.61972,0,1.52423,1.1127E-32,1.76311,0,1.46241,3.25592E-41,1.44685,2.29541E-22,1.2877,0.000009523,1.88128,0,1.39109,3.09687E-43,1.75604,1.05926E-33,2.0884,0
I,YMR275C,RDS1,1.06735,0.01759,1.01931,0.53697,1.53534,1.92258E-42,2.71813,0,1.14911,0.00081,-1.03117,0.26595,1.24096,3.55262E-14,1.15035,4.7225E-06,1.04797,0.0164,1.33198,7.95183E-37,1.18618,1.64203E-15,1.34312,2.40156E-32,1.34959,1.29745E-13,1.22285,7.37364E-10
I,YAL005C,SSA1,1.47578,0.00004,1.16086,0.06066,3.91581,0,6.03222,0,1.66908,1.0486E-08,2.14406,2.29425E-14,1.39075,0.00017,1.61741,2.22341E-09,2.43244,1.28741E-28,3.17508,0,1.29952,0.00383,1.55705,0.00001,1.68611,1.07464E-08,1.69735,8.06028E-07
I,YJL101C,GSH1,1.28716,1.68767E-24,1.20578,1.17339E-18,5.70771,0,7.91911,0,1.28791,1.05449E-17,1.41817,0,1.42592,0,1.67658,0,1.47672,0,2.1805,0,1.52064,6.95724E-35,2.49649,0,1.41442,0,1.52616,1.16592E-37
I,YPR048W,TAH18,1.75269,0,2.01956,0,3.83691,0,4.26617,0,1.48953,1.37515E-18,1.75655,0,1.54756,0,1.4251,1.68555E-12,-1.07288,0.14082,1.15906,6.13046E-08,1.91426,0,1.9388,0,1.63352,0,2.16847,0
I,YHL040C,ARN1,1.53137,7.45181E-10,1.70623,2.04783E-09,2.38745,4.35937E-19,3.87171,0,1.45687,1.02949E-10,1.94378,0,1.52323,8.38653E-10,1.73602,3.62205E-11,1.44897,0.00178,1.93873,5.2838E-35,1.64812,1.26726E-21,1.49832,5.75222E-40,1.82336,0,2.48006,0
I,YPR156C,TPO3,2.01829,0,1.96514,1.40129E-25,2.1284,8.59578E-15,2.77534,0,2.46224,6.89174E-30,2.45245,0,1.71778,2.023E-11,2.0137,1.15047E-42,2.25929,0,1.42747,6.54133E-11,2.72476,0,2.48525,0,2.22216,0,2.14396,0
I,YOR066W,YOR066W,1.78626,1.00607E-20,2.05918,3.37321E-41,2.02512,0,1.85457,0,1.77743,4.0966E-32,1.81622,0,2.42209,0,2.16289,3.66767E-33,2.00868,0,2.19645,0,2.07708,8.88087E-27,1.97452,0,2.36069,0,2.58016,0
I,YHL038C,CBP2,1.19525,0.04749,1.21236,0.01568,2.62894,0,2.39978,0,1.47203,1.50654E-17,1.62186,9.75487E-32,1.31514,4.75304E-07,1.37206,2.2955E-08,1.47686,1.40532E-11,1.61422,1.45978E-26,1.40739,3.77089E-06,1.68395,8.05791E-08,1.06977,0.19929,1.09888,0.35046
I,YMR058W,FET3,3.98028,0,3.62483,0,1.3855,0.00005,1.66265,2.15304E-21,1.73733,1.2293E-13,2.29757,1.10764E-28,1.72355,1.82799E-19,1.77724,9.81135E-11,4.30395,0,4.82135,0,2.2143,3.29245E-40,1.38588,1.65306E-06,4.43498,0,5.04638,0
I,YDR488C,PAC11,2.0728,0,2.34184,0,2.25742,0,2.42666,0,1.73616,0,1.68146,1.31151E-30,1.88018,4.05126E-36,1.85407,0,1.68107,1.42144E-10,2.22946,2.38221E-43,1.89705,1.90393E-24,2.02544,3.66298E-34,2.6263,4.1365E-39,2.55316,1.90041E-32
I,YDL156W,YDL156W,1.51572,1.11294E-30,1.46105,1.91802E-09,2.01083,2.37899E-31,1.61773,1.20999E-28,1.34745,3.26713E-06,1.80381,1.04372E-19,1.7768,0,1.60812,1.54858E-34,1.26686,0.00002,-1.12411,0.0052,1.65919,2.5183E-36,2.25681,0,1.67746,0,1.68199,0
I,YDR299W,BFR2,2.41613,0,3.15135,0,2.16058,0,-1.00276,0.94873,2.40304,0,2.36109,0,3.12053,0,2.0417,0,1.62635,3.95406E-39,-1.38532,0.00003,2.95333,0,1.52548,6.9506E-24,2.35638,0,2.71203,0
I,YFL021W,GAT1,1.75193,5.18951E-08,1.42588,0.00024,1.664,5.98153E-08,5.03697,0,1.13051,0.05035,1.4656,0.00076,1.22061,0.00212,1.1898,0.11765,3.15647,7.82027E-22,3.43516,6.34538E-25,1.02878,0.79408,1.51077,3.74165E-09,1.1864,0.02879,1.0636,0.31315
I,YER064C,YER064C,-1.0124,0.80994,-1.00528,0.89687,1.80602,9.86722E-31,1.10821,0.03994,1.77467,7.89905E-16,1.11087,0.11648,2.03197,0,1.18405,0.00142,1.65638,1.35926E-43,1.31796,1.85678E-13,2.03007,2.38221E-43,1.95604,0,1.29356,1.74439E-08,1.09121,0.09826
I,YKR063C,LAS1,1.55568,5.27723E-10,1.70287,0,2.14602,2.31677E-41,2.40052,0,1.48201,9.11176E-11,1.68957,3.48118E-17,1.61255,5.46516E-30,1.69309,2.34267E-24,1.28134,3.15521E-12,1.55905,2.13059E-15,1.62046,9.91682E-25,1.76518,2.83716E-30,1.80672,1.92759E-22,1.80673,1.74136E-38
I,YHR070W,TRM5,1.78602,9.09758E-15,1.93449,5.07103E-27,1.43114,2.36655E-19,1.11157,0.07604,1.75135,9.19866E-20,1.66234,1.41687E-16,1.5612,3.41026E-15,1.32504,0.00001,1.357,0.00007,-1.07758,0.28895,2.05131,6.35442E-20,1.52549,4.51382E-11,1.86544,0,2.00858,4.95373E-41
I,YNL240C,NAR1,2.22207,1.95899E-11,2.45773,9.23333E-13,4.57549,0,8.33294,0,1.51059,0.00017,1.5121,0.00176,1.79246,1.22389E-07,1.54015,0.00021,1.2644,0.04722,1.23634,0.02122,1.93581,1.38223E-10,1.91269,1.12462E-08,1.58488,1.47666E-06,2.01974,1.49009E-10
I,YCL017C,NFS1,1.43045,6.6029E-13,1.46499,4.42312E-34,1.62408,0,2.05683,0,1.22938,2.07513E-14,1.20576,1.44156E-08,1.17459,0.00572,1.26739,2.15258E-12,1.16161,0.00046,1.07765,0.1213,1.236,5.89844E-06,1.35295,6.58118E-12,1.40211,1.25004E-13,1.42965,9.78111E-10
I,YHL012W,YHL012W,2.59314,1.98686E-13,3.24689,0,2.84686,1.4079E-36,2.84401,0,3.21086,1.85297E-10,2.30135,3.81463E-17,3.25552,8.22708E-09,3.34654,1.55279E-22,2.39503,4.43641E-18,4.40288,1.99061E-10,3.67638,3.50643E-27,3.81493,1.97634E-17,4.45379,0,4.96138,0
I,YLR438W,CAR2,2.0244,1.27861E-19,1.92979,6.69258E-14,1.06666,0.34138,1.08315,0.43025,2.13553,7.00806E-14,2.53179,6.43942E-30,1.76577,1.05325E-07,1.62623,0.00003,2.16862,2.88959E-25,2.26279,1.10379E-21,1.56829,1.27772E-07,2.09184,2.64678E-11,1.11775,0.21075,1.08629,0.48385
I,YBR287W,YBR287W,1.55416,0.00018,1.27075,0.00006,1.70423,8.17793E-27,2.1464,3.25904E-23,1.92077,5.7515E-12,1.72501,4.61351E-14,2.20136,5.15627E-17,2.32358,4.01821E-19,1.41753,1.75478E-06,2.1497,3.58549E-27,1.7963,1.1478E-10,2.10652,1.03792E-22,1.80225,1.14348E-11,1.82344,2.46404E-13
I,YCR012W,PGK1,-1.23099,2.58752E-09,1.15008,0.21888,1.24064,0.13302,3.28592,0,2.42272,1.16052E-11,1.28104,1,2.49531,1.63023E-23,2.51774,2.50645E-12,2.4373,9.13892E-12,2.50641,5.5483E-25,1.42594,8.68091E-08,1.72393,0.0018,1.71359,0.0062,1.28309,0.07534
I,YOR303W,CPA1,1.11431,0.02449,1.26963,0.00045,1.52755,2.38749E-14,4.45957,0,1.34828,1.83119E-08,1.30638,0.00072,1.14494,0.01242,1.09798,0.03273,-1.81275,7.26054E-09,-1.4576,1.9671E-11,1.44759,8.39498E-09,1.68839,8.85117E-39,1.07464,0.03793,-1.00669,0.91853
I,YJL059W,BTN1,1.45667,0,1.56545,1.28456E-23,1.58836,2.74987E-31,1.97074,5.1848E-44,1.37747,6.71327E-15,1.42762,9.11834E-24,1.51155,0,1.52393,2.76392E-41,1.43931,1.02773E-24,2.03892,1.29139E-16,1.53608,1.28912E-27,1.59177,0,1.88446,1.40601E-14,1.56001,5.11907E-18
I,YMR272C,FAH1,1.05089,0.42117,1.02384,0.53951,1.1432,0.00018,-1.3253,2.00799E-17,1.3309,7.02901E-13,1.33698,0,1.43403,3.91381E-29,1.39949,0,2.92275,0,2.45554,0,1.27588,1.17802E-15,1.03754,0.44741,1.04713,0.14629,-1.0495,0.48728
I,YNR015W,SMM1,1.96196,3.76162E-21,1.86654,1.84235E-11,1.85395,2.48578E-10,2.3801,5.55334E-35,1.85343,9.37083E-13,2.13204,2.52019E-15,1.69028,7.98459E-30,1.45831,1.06611E-06,-1.14478,0.26006,-1.03107,0.62918,2.03468,0,1.48539,1.28014E-18,1.93923,0,1.91453,2.97808E-27
I,YML018C,YML018C,1.88375,0,2.06248,0,3.29223,0,2.61561,0,1.66743,0,1.66304,1.37093E-31,2.08319,1.4013E-45,1.27406,2.52219E-25,1.47725,1.963E-11,1.17909,3.10821E-07,1.65438,0,1.24139,6.427E-15,1.58147,0,1.61868,3.17324E-41
I,YDR033W,MRH1,-1.02873,0.44605,-1.22226,0.00025,2.43376,0,2.57777,0,1.78145,4.85457E-36,1.60419,7.87984E-22,1.79784,1.21504E-19,1.57765,8.50775E-09,1.81507,0,1.57484,8.45717E-21,1.87709,5.29882E-27,2.0151,4.2039E-45,1.23961,1.79011E-06,1.31691,3.47145E-07
I,YJR107W,YJR107W,1.28365,6.23231E-07,1.25923,6.40812E-10,1.33606,5.47793E-37,2.20524,0,1.17184,9.4504E-06,1.27462,1.18563E-24,1.79749,0,1.98648,0,1.23081,0.00022,1.8612,0,1.15233,0.00063,1.42412,3.47203E-13,1.13504,0.00012,1.03433,0.22779
I,YLR340W,RPL10E,-1.0892,6.1348E-06,1.07552,0.21825,1.33651,0.00396,1.42325,1.86942E-22,2.20476,0,1.66685,0.00002,1.53909,1.33249E-15,1.7376,1.36988E-14,1.3523,1.92878E-06,1.62212,0,2.01467,2.54304E-12,1.39822,0.27952,1.8551,0.00002,1.78396,3.27225E-38
I,YPL079W,RPL21B,2.05094,0,1.84491,0,1.88508,7.51475E-31,1.0014,0.96922,2.09613,0,1.84524,3.64338E-44,1.67119,3.07504E-26,1.62922,4.06389E-28,1.48413,7.1492E-14,1.22136,1.95836E-07,2.21392,0,1.9155,0,2.11543,0,1.87887,4.14784E-43
I,YBR267W,REI1,2.54471,0,3.26075,0,2.12716,0,1.80274,0,1.88219,0,2.34782,0,2.65683,0,1.70709,0,1.25724,3.16222E-19,-1.37788,2.3395E-09,2.19487,0,1.56043,0,2.03735,0,3.3312,0
I,YOR107W,RGS2,3.27452,3.39815E-35,3.40295,3.44026E-40,2.56471,2.54444E-25,2.24946,1.35197E-25,1.77822,3.61657E-11,2.09126,2.03009E-20,2.04669,1.61574E-15,1.48221,0.00013,7.55322,0,7.51406,0,1.82516,3.97165E-14,1.09312,0.29812,1.90574,4.258E-21,1.97792,2.73369E-20
I,YJL079C,PRY1,1.91159,3.73306E-12,1.74639,3.16062E-25,2.06277,0,3.28539,0,1.23013,6.30759E-06,1.24153,0.00092,2.23282,8.21768E-34,1.95369,0,4.17134,0,4.06891,0,1.28632,0.00003,1.90493,8.5835E-31,1.67718,9.99186E-21,1.64993,2.21498E-19
I,YDR043C,NRG1,1.80441,0,1.43319,6.79958E-21,1.68619,1.62428E-15,3.66421,0,1.69907,1.52577E-39,1.56928,3.67375E-09,1.37418,0,1.18994,0.00002,1.65517,0,2.77714,0,1.38017,1.31347E-24,1.2313,1.73376E-19,1.18885,0.00521,1.87424,0
I,YBR066C,NRG2,1.88775,3.46102E-19,1.83763,9.19732E-19,1.25505,0.00052,1.53731,8.92422E-11,1.66508,1.40914E-06,2.15928,0,1.75397,1.61083E-18,1.66874,9.91072E-35,1.33626,3.98537E-10,1.15533,0.00642,2.08313,6.38992E-43,6.29843,0,1.59363,3.29871E-27,2.85487,0
I,YMR292W,GOT1,2.85731,3.65733E-38,3.95119,0,3.57873,0,3.91434,0,2.77215,0,2.59469,0,3.22127,0,2.9995,0,2.47292,0,4.16307,0,3.1711,2.8026E-45,3.49579,0,5.08489,0,3.74745,0
I,YJR104C,CRS4,1.42216,2.48556E-10,1.34222,4.70767E-16,1.46099,6.44211E-37,4.29768,0,1.02897,0.50276,1.33778,5.75502E-09,1.06422,0.39085,1.20173,0.00003,1.95013,4.11226E-40,4.36825,0,1.30026,2.75218E-06,1.98628,6.5752E-38,1.05204,0.24827,1.28811,0.00004
I,YCL058C,FYV5,1.76069,1.87318E-10,2.35695,0,2.0307,0,2.14896,0,1.61446,2.26928E-28,1.493,1.56945E-43,1.68753,0,1.65871,0,1.79107,1.9755E-15,2.42546,5.88021E-19,1.86002,1.6383E-19,1.86704,0,2.38649,1.83353E-31,2.18286,0
I,YDL123W,SNA4,1.14212,0.05353,1.07635,0.0301,1.34605,5.49836E-24,2.69571,0,1.15431,8.30281E-13,1.28694,6.14185E-07,1.21076,2.95264E-10,1.28428,6.35646E-15,-1.10744,0.0661,1.2641,8.8968E-08,1.19942,3.11167E-09,1.27454,3.10078E-10,1.26176,0.00904,1.18092,0.00721
I,YOL165C,AAD15,2.44164,4.41816E-13,2.64776,4.11786E-32,3.21113,6.46921E-28,5.34084,0,2.3574,6.99392E-14,2.11185,2.3197E-38,2.75937,0,2.45794,4.64602E-22,2.19072,5.81976E-22,3.53963,0,2.54485,8.91074E-36,3.25079,0,3.07164,1.90438E-26,2.83284,4.20498E-25
I,YNL259C,ATX1,1.52687,7.1729E-25,1.52981,0,1.10758,0.00226,1.72514,5.57322E-40,1.3123,2.69904E-26,1.69318,4.05022E-24,1.89868,1.49897E-41,2.0152,0,1.42446,1.56612E-11,1.67734,4.57081E-31,1.50472,1.62597E-19,1.21394,1.29474E-09,1.85936,0,2.40077,4.60831E-35
I,YAL043C,FUN39,1.61303,0.00024,1.72973,1.09035E-06,2.00029,3.38489E-16,2.02869,5.83068E-11,1.64115,1.2292E-10,1.55382,0.00032,1.79752,0.00003,1.87257,1.41949E-07,1.81509,1.9249E-06,1.77982,3.68554E-09,1.88634,6.03585E-06,1.71808,3.62648E-14,1.93795,1.2698E-08,2.11838,1.56387E-07
I,YOR337W,TEA1,2.20845,5.29812E-07,1.93308,4.64476E-07,1.57215,0.0003,2.33243,1.73469E-19,1.50727,0.00214,1.58922,9.5562E-06,1.97366,8.81991E-16,1.59027,0.00003,-1.09309,0.42476,-1.01565,0.88695,1.82192,1.2836E-09,2.37446,3.48801E-13,1.86642,5.21984E-09,2.7493,1.3204E-16
I,YMR179W,SPT21,1.49601,2.34941E-26,1.53481,1.29562E-17,2.45039,0,2.1755,0,1.5716,7.83081E-17,1.57155,2.10501E-27,2.14769,1.52511E-30,2.01546,1.72957E-23,1.59165,1.0177E-14,1.37877,4.36394E-06,1.69017,6.50314E-18,1.81885,4.08198E-25,1.63935,7.61514E-19,1.70924,1.77527E-12
I,YER169W,RPH1,1.51106,7.38604E-19,1.5476,0,1.78208,0,1.87805,6.78895E-17,1.71614,1.51021E-31,1.61804,0,2.04396,0,1.80616,0,1.67352,0,1.35874,1.61453E-07,1.57834,0,1.52271,1.13647E-32,1.73928,0,1.70778,3.16698E-36
I,YFR022W,ROG3,2.07859,1.36152E-30,1.64591,7.86906E-13,2.27768,0,2.66527,6.95066E-36,1.69315,1.1588E-34,1.56966,2.91897E-15,2.79598,0,3.33446,0,2.06105,1.11131E-23,2.31651,0,1.69913,3.01664E-34,2.20596,7.3641E-26,2.01957,5.52064E-31,1.89844,1.1394E-09
I,YKR018C,YKR018C,1.46043,0.00059,1.32826,0.00006,1.40737,3.99351E-06,2.13748,8.76294E-17,1.26931,0.00098,1.38767,0.00003,1.36691,2.10904E-08,1.40548,6.6032E-09,1.34724,3.80454E-12,1.48987,0.00009,1.20069,0.00378,1.36619,0.00004,1.47065,3.98239E-09,1.45616,0.00025
I,YLR424W,NTR1,1.57928,2.47839E-13,1.8287,9.86097E-19,1.81487,1.28464E-23,1.74419,1.22381E-28,1.54807,6.44843E-18,1.4533,1.57952E-07,1.6179,9.9151E-18,1.53769,3.85288E-08,1.3015,4.25744E-09,1.94671,0,1.59678,1.64711E-11,1.62267,1.70653E-23,2.0614,1.04002E-12,2.21166,9.48797E-20
I,YJL069C,UTP18,2.24487,0,2.56065,0,1.7394,1.87204E-38,1.07441,0.0484,1.99274,0,1.99323,0,1.98967,0,1.41371,7.39667E-36,1.29077,9.14168E-09,-1.15278,0.03124,2.21586,0,1.4994,3.2426E-42,1.92877,1.66204E-32,2.33206,0
I,YLL028W,TPO1,2.16346,2.99266E-20,2.10826,0,2.93397,0,3.83921,0,1.70716,1.93747E-10,1.76455,3.11446E-39,2.00892,2.5576E-32,1.71047,3.97638E-15,2.23821,0,3.20788,0,1.96091,0,2.0417,0,2.51084,1.35365E-20,2.33224,4.03914E-24
I,YEL020C,YEL020C,1.45258,4.82889E-11,1.39897,2.02101E-17,1.53854,9.64673E-19,1.83482,7.53654E-26,1.25578,9.09563E-06,1.27055,0.00001,2.22486,9.62603E-28,1.99127,3.61808E-20,1.78876,8.51137E-39,2.23549,1.898E-28,1.38533,0.00004,1.56371,1.28391E-09,1.51246,4.06141E-06,1.60794,2.61422E-10
I,YJL110C,DEH1,1.55848,5.91651E-08,1.54859,8.79846E-08,1.70371,5.76052E-07,1.73865,0,1.73987,0,1.55375,1.39887E-32,2.11092,0,1.41666,6.0611E-16,2.32906,0,1.97354,9.00657E-41,1.83036,9.42101E-18,1.64087,1.29123E-17,1.46858,2.9503E-20,1.59361,1.09258E-33
I,YGL012W,ERG4,1.24342,0.00008,1.15443,0.00349,1.27682,6.49234E-07,1.26082,0.00006,1.22787,0.00001,1.20805,0.00015,1.10984,0.11985,1.15929,0.03453,1.34704,4.80614E-10,1.27236,1.07297E-06,1.36423,9.34748E-08,3.59667,0,1.31061,0.00105,1.48035,2.36736E-18
I,YBR118W,TEF2,-1.11497,0.2714,1.31843,0.00841,2.4397,0,3.92084,1.83051E-19,1.54255,1,1.28109,1,2.50521,2.57137E-36,2.30338,8.69855E-11,1.75749,1,3.36188,3.85667E-17,1.4755,1,-2.27798,1.35217E-10,1.74601,3.57818E-06,2.34498,2.44344E-35
I,YCL037C,SRO9,2.41455,0,2.60248,0,2.01575,0,1.13834,0.00948,2.45994,0,2.87652,0,2.12314,2.85925E-27,1.83841,0,1.37064,1.94499E-10,-1.04459,0.45047,3.34245,0,2.55963,0,3.24329,0,3.07491,0
I,YHR174W,ENO2,-1.27654,1.65978E-15,1.14483,0.28868,2.39015,0,1.92503,4.06657E-24,2.62648,4.68968E-13,1.28114,1,2.22935,3.37051E-13,2.19741,0,2.13483,5.28337E-11,2.20457,2.91518E-22,2.38032,2.3457E-11,2.14658,3.83023E-14,1.79136,0.00047,1.92975,0
I,YMR034C,YMR034C,1.58513,2.9162E-27,1.79649,0,1.82925,0,2.05526,0,1.62445,2.04873E-35,1.48418,0,1.58936,6.07564E-22,1.53633,3.32581E-31,1.52919,2.92061E-26,1.92842,1.52601E-42,1.74346,4.65225E-30,1.79007,1.78502E-39,2.03029,0,2.11961,0
I,YDL066W,IDP1,1.54413,2.03796E-21,1.55135,0,1.65319,0,1.31983,3.07748E-10,1.55611,3.08286E-44,1.77455,0,1.85662,5.90745E-28,1.89808,0,1.83846,0,1.50494,7.11996E-12,1.86257,2.87569E-19,2.10549,0,1.87828,0,2.19152,0
