"","ORF","term"
"200","YHR024C","Zn"
"201","YHR035W","Zn"
"202","YHR047C","Zn"
"203","YHR056C","Zn"
"204","YHR098C","Zn"
"205","YHR113W","Zn"
"206","YHR132C","Zn"
"207","YHR143W-A","Zn"
"208","YHR178W","Zn"
"209","YIL030C","Zn"
"210","YIL079C","Zn"
"211","YIL082W-A","Zn"
"212","YIL109C","Zn"
"213","YIL130W","Zn"
"214","YIL137C","Zn"
"215","YIR013C","Zn"
"216","YIR023W","Zn"
"217","YIR027C","Zn"
"218","YJL035C","Zn"
"219","YJL056C","Zn"
"220","YJL089W","Zn"
"221","YJL103C","Zn"
"222","YJL110C","Zn"
"223","YJL206C","Zn"
"224","YJR063W","Zn"
"225","YJR104C","Zn"
"226","YJR127C","Zn"
"227","YJR159W","Zn"
"228","YKL015W","Zn"
"229","YKL038W","Zn"
"230","YKL059C","Zn"
"231","YKL060C","Zn"
"232","YKL084W","Zn"
"233","YKL103C","Zn"
"234","YKL114C","Zn"
"235","YKL157W","Zn"
"236","YKL185W","Zn"
"237","YKL222C","Zn"
"238","YKR023W","Zn"
"239","YKR034W","Zn"
"240","YKR064W","Zn"
"241","YLL054C","Zn"
"242","YLL062C","Zn"
"243","YLR005W","Zn"
"244","YLR013W","Zn"
"245","YLR014C","Zn"
"246","YLR024C","Zn"
"247","YLR032W","Zn"
"248","YLR070C","Zn"
"249","YLR074C","Zn"
"250","YLR098C","Zn"
"251","YLR116W","Zn"
"252","YLR163C","Zn"
"253","YLR228C","Zn"
"254","YLR245C","Zn"
"255","YLR256W","Zn"
"256","YLR266C","Zn"
"257","YLR278C","Zn"
"258","YLR298C","Zn"
"259","YLR388W","Zn"
"260","YLR451W","Zn"
"261","YML076C","Zn"
"262","YML099C","Zn"
"263","YML107C","Zn"
"264","YMR019W","Zn"
"265","YMR026C","Zn"
"266","YMR038C","Zn"
"267","YMR080C","Zn"
"268","YMR083W","Zn"
"269","YMR089C","Zn"
"270","YMR136W","Zn"
"271","YMR168C","Zn"
"272","YMR201C","Zn"
"273","YMR223W","Zn"
"274","YMR280C","Zn"
"275","YMR303C","Zn"
"276","YMR318C","Zn"
"277","YNL036W","Zn"
"278","YNL045W","Zn"
"279","YNL049C","Zn"
"280","YNL155W","Zn"
"281","YNL255C","Zn"
"282","YNL262W","Zn"
"283","YNL310C","Zn"
"284","YNR063W","Zn"
"285","YOL033W","Zn"
"286","YOL068C","Zn"
"287","YOL086C","Zn"
"288","YOL089C","Zn"
"289","YOL154W","Zn"
"290","YOR052C","Zn"
"291","YOR077W","Zn"
"292","YOR156C","Zn"
"293","YOR162C","Zn"
"294","YOR172W","Zn"
"295","YOR210W","Zn"
"296","YOR337W","Zn"
"297","YOR341W","Zn"
"298","YOR363C","Zn"
"299","YOR380W","Zn"
"300","YPL015C","Zn"
"301","YPL021W","Zn"
"302","YPL103C","Zn"
"303","YPL111W","Zn"
"304","YPL133C","Zn"
"305","YPL248C","Zn"
"306","YPR017C","Zn"
"307","YPR022C","Zn"
"308","YPR181C","Zn"
"309","YPR191W","Zn"
"310","YPR196W","Zn"
"311","YER078C","Mn"
"312","YFR006W","Mn"
"313","YLR151C","Mn"
"314","YMR224C","Mn"
"315","YNL118C","Mn"
"316","YOL142W","Mn"
"317","YPL111W","Mn"
"318","YBR014C","Fe"
"319","YBR163W","Fe"
"320","YCL017C","Fe"
"321","YDL102W","Fe"
"322","YDR098C","Fe"
"323","YDR234W","Fe"
"324","YEL024W","Fe"
"325","YER171W","Fe"
"326","YER174C","Fe"
"327","YGL009C","Fe"
"328","YGR286C","Fe"
"329","YHR164C","Fe"
"330","YIL003W","Fe"
"331","YJL200C","Fe"
"332","YJR016C","Fe"
"333","YJR137C","Fe"
"334","YKL045W","Fe"
"335","YKL195W","Fe"
"336","YKR071C","Fe"
"337","YLL041C","Fe"
"338","YLR304C","Fe"
"339","YNL102W","Fe"
"340","YNL240C","Fe"
"341","YNL262W","Fe"
"342","YOL043C","Fe"
"343","YOR196C","Fe"
"344","YOR356W","Fe"
"345","YPL059W","Fe"
"346","YPL086C","Fe"
"347","YPL167C","Fe"
"348","YPL207W","Fe"
"349","YPL252C","Fe"
"350","YPR002W","Fe"
