"ORF","Significant"
"YDL126C",TRUE
"YDL132W",FALSE
"YGL190C",TRUE
"YPL160W",TRUE
"YLR418C",TRUE
"YDL164C",FALSE
"YBR029C",TRUE
"YGL130W",TRUE
"YPL228W",TRUE
"YOR112W",TRUE
"YDR301W",TRUE
"YML036W",FALSE
"YGL206C",FALSE
"YER164W",FALSE
"YER026C",FALSE
"YGR157W",TRUE
"YBR023C",TRUE
"YLR330W",FALSE
"YHR052W",FALSE
"YGR207C",TRUE
"YOR356W",TRUE
"YJL158C",FALSE
"YNR001C",FALSE
"YCR005C",FALSE
"YIL035C",TRUE
"YOR061W",FALSE
"YGL019W",FALSE
"YOR039W",FALSE
"YLR133W",FALSE
"YBR135W",FALSE
"YGR167W",FALSE
"YOR250C",FALSE
"YMR012W",TRUE
"YKL137W",TRUE
"YBR109C",FALSE
"YFR014C",TRUE
"YOL016C",TRUE
"YML057W",TRUE
"YLR003C",FALSE
"YLR433C",FALSE
"YKL190W",TRUE
"YBR155W",FALSE
"YMR244C-A",FALSE
"YLL050C",TRUE
"YER157W",TRUE
"YDL145C",FALSE
"YBR003W",FALSE
"YLR290C",TRUE
"YOL096C",TRUE
"YML110C",TRUE
"YGR255C",TRUE
"YGL119W",FALSE
"YLR201C",TRUE
"YBL045C",TRUE
"YOR316C",TRUE
"YLR038C",TRUE
"YGL191W",TRUE
"YER141W",FALSE
"YLL009C",FALSE
"Q0250",TRUE
"YDR231C",TRUE
"YDR119W-A",TRUE
"YGL187C",TRUE
"YIL111W",TRUE
"YHR051W",TRUE
"YLR395C",TRUE
"YDL067C",TRUE
"YKL179C",FALSE
"YOR303W",TRUE
"YJR109C",FALSE
"YGR247W",FALSE
"YDR155C",TRUE
"YHR057C",TRUE
"YML078W",FALSE
"YDR304C",TRUE
"YLR216C",TRUE
"YJR032W",FALSE
"YJL172W",TRUE
"YNL130C",TRUE
"YHR209W",FALSE
"YGR189C",TRUE
"YGR218W",FALSE
"YLR429W",TRUE
"YHR146W",TRUE
"YLR241W",FALSE
"YGL238W",FALSE
"YNL232W",TRUE
"YLR380W",TRUE
"YBR042C",FALSE
"YPR135W",FALSE
"YBR291C",TRUE
"YOL145C",TRUE
"YLR286C",TRUE
"YGR088W",TRUE
"YPL260W",TRUE
"YMR264W",FALSE
"YOR042W",TRUE
"YGL027C",TRUE
"YCR017C",FALSE
"YKL096W",FALSE
"YML054C",FALSE
"YNL111C",FALSE
"YJR048W",FALSE
"YAL039C",TRUE
"YBR112C",TRUE
"YDR430C",TRUE
"YJL005W",TRUE
"YAL012W",TRUE
"YGR155W",FALSE
"YOR065W",TRUE
"YBR233W-A",TRUE
"YML070W",TRUE
"YIR029W",FALSE
"YIR032C",TRUE
"YIR031C",TRUE
"YPL170W",TRUE
"YHR028C",TRUE
"YGR092W",TRUE
"YPL119C",TRUE
"YDL031W",TRUE
"YNL112W",TRUE
"YGL078C",TRUE
"YOR046C",FALSE
"YLR276C",TRUE
"YHR144C",TRUE
"YOL149W",FALSE
"YNL118C",TRUE
"YLR270W",TRUE
"YOR173W",TRUE
"YER143W",TRUE
"YOR163W",TRUE
"YMR173W",TRUE
"YOR204W",TRUE
"YHR019C",TRUE
"YKL054C",TRUE
"YDR051C",TRUE
"YOR030W",TRUE
"YMR238W",TRUE
"YDR411C",FALSE
"YDL160C",TRUE
"YMR316W",FALSE
"YLR348C",TRUE
"YKR035W-A",FALSE
"YKL002W",TRUE
"YPL266W",FALSE
"YDR263C",FALSE
"YOL021C",TRUE
"YIR004W",TRUE
"YDL174C",TRUE
"YDL178W",TRUE
"YEL071W",TRUE
"YER166W",FALSE
"YLL001W",FALSE
"YKL213C",FALSE
"YDR141C",FALSE
"YIL010W",TRUE
"YIL103W",TRUE
"YLR172C",TRUE
"YDR294C",TRUE
"YPR183W",FALSE
"YDR284C",TRUE
"YLL018C",TRUE
"YLL008W",FALSE
"YAL026C",TRUE
"YGL196W",FALSE
"YNR067C",TRUE
"YMR276W",TRUE
"YNL258C",TRUE
"YGL043W",TRUE
"YDL219W",FALSE
"YOL087C",TRUE
"YFR044C",FALSE
"YBR208C",TRUE
"YLR401C",TRUE
"YBR252W",TRUE
"YDR424C",TRUE
"YHR068W",TRUE
"YPR023C",FALSE
"YKL204W",TRUE
"YKL172W",FALSE
"YEL030W",TRUE
"YHR132C",TRUE
"YMR128W",FALSE
"YLR390W",TRUE
"YBL101C",FALSE
"YJL201W",FALSE
"YHL030W",TRUE
"YBR078W",TRUE
"YKR076W",TRUE
"YEL015W",FALSE
"YBL047C",FALSE
"YAL003W",TRUE
"YGR001C",FALSE
"YOR133W",TRUE
"YPL037C",TRUE
"YHR193C",TRUE
"YIR007W",FALSE
"YCR075W-A",FALSE
"YDR036C",TRUE
"YBR177C",FALSE
"YMR031C",TRUE
"YKL160W",TRUE
"YJL196C",TRUE
"YCR034W",TRUE
"YLR372W",FALSE
"YGR200C",FALSE
"YPL086C",FALSE
"YCL045C",TRUE
"YJR088C",TRUE
"YGL231C",TRUE
"YIL027C",TRUE
"YLR186W",FALSE
"YDR516C",TRUE
