"ORF","Significant"
"YLR310C",TRUE
"YBR160W",TRUE
"YLR314C",FALSE
"YOR257W",FALSE
"YOL139C",FALSE
"YDR054C",TRUE
"YDL165W",FALSE
"YDR168W",TRUE
"YCR093W",TRUE
"YLR229C",TRUE
"YDL126C",FALSE
"YDL132W",TRUE
"YGL190C",FALSE
"YPL160W",TRUE
"YLR418C",FALSE
"YDL164C",FALSE
"YBR029C",TRUE
"YGL130W",TRUE
"YPL228W",FALSE
"YOR112W",TRUE
"YDR301W",FALSE
"YML036W",FALSE
"YGL206C",FALSE
"YER164W",FALSE
"YER026C",FALSE
"YGR157W",TRUE
"YBR023C",TRUE
"YLR330W",TRUE
"YER030W",FALSE
"YHR052W",FALSE
"YGR207C",TRUE
"YOR356W",FALSE
"YJL158C",TRUE
"YNR001C",FALSE
"YCR005C",TRUE
"YIL035C",FALSE
"YOR061W",FALSE
"YGL019W",TRUE
"YOR039W",FALSE
"YLR133W",FALSE
"YBR135W",FALSE
"YGR167W",FALSE
"YOR250C",FALSE
"YMR012W",TRUE
"YKL137W",FALSE
"YBR109C",FALSE
"YFR014C",TRUE
"YOL016C",TRUE
"YML057W",FALSE
"YLR003C",FALSE
"YLR433C",TRUE
"YKL190W",FALSE
"YBR155W",FALSE
"YMR244C-A",FALSE
"YLL050C",FALSE
"YER157W",FALSE
"YDL145C",FALSE
"YBR003W",FALSE
"YLR290C",FALSE
"YOL096C",FALSE
"YDR204W",FALSE
"YML110C",TRUE
"YGR255C",TRUE
"YGL119W",FALSE
"YLR201C",FALSE
"YBL045C",TRUE
"YOR316C",FALSE
"YLR038C",TRUE
"YGL191W",TRUE
"YER141W",FALSE
"YLL009C",TRUE
"Q0250",TRUE
"YDR231C",TRUE
"YDR119W-A",TRUE
"YGL187C",TRUE
"YIL111W",TRUE
"YHR051W",TRUE
"YLR395C",TRUE
"YDL067C",TRUE
"YKL179C",FALSE
"YOR303W",TRUE
"YJR109C",TRUE
"YGR247W",FALSE
"YDR155C",TRUE
"YHR057C",TRUE
"YML078W",FALSE
"YDR304C",TRUE
"YLR216C",FALSE
"YJR032W",FALSE
"YJL172W",TRUE
"YNL130C",FALSE
"YHR209W",TRUE
"YGR189C",TRUE
"YGR218W",FALSE
"YLR429W",TRUE
"YHR146W",TRUE
"YLR241W",TRUE
"YGL238W",FALSE
"YNL232W",FALSE
"YLR380W",FALSE
"YBR042C",FALSE
"YPR135W",TRUE
"YBR291C",FALSE
"YOL145C",FALSE
"YLR286C",TRUE
"YGR088W",TRUE
"YPL260W",FALSE
"YMR264W",TRUE
"YOR042W",FALSE
"YGL027C",TRUE
"YCR017C",FALSE
"YKL096W",FALSE
"YML054C",FALSE
"YNL111C",FALSE
"YJR048W",FALSE
"YAL039C",TRUE
"YBR112C",FALSE
"YDR430C",FALSE
"YJL005W",TRUE
"YAL012W",FALSE
"YGR155W",TRUE
"YOR065W",TRUE
"YBR233W-A",FALSE
"YML070W",FALSE
"YIR029W",FALSE
"YIR032C",TRUE
"YIR031C",FALSE
"YPL170W",TRUE
"YHR028C",TRUE
"YGR092W",TRUE
"YPL119C",FALSE
"YDL031W",FALSE
"YNL112W",TRUE
"YGL078C",TRUE
"YOR046C",FALSE
"YLR276C",FALSE
"YHR144C",FALSE
"YOL149W",FALSE
"YNL118C",FALSE
"YLR270W",TRUE
"YOR173W",TRUE
"YKL046C",FALSE
"YER143W",TRUE
"YOR163W",TRUE
"YMR173W",TRUE
"YOR204W",TRUE
"YHR019C",TRUE
"YKL054C",TRUE
"YDR051C",TRUE
"YOR030W",TRUE
"YMR238W",TRUE
"YDR411C",FALSE
"YDL160C",FALSE
"YMR316W",FALSE
"YLR348C",TRUE
"YKR035W-A",FALSE
"YKL002W",TRUE
"YPL266W",FALSE
"YDR263C",FALSE
"YLR129W",FALSE
"YOL021C",FALSE
"YIR004W",FALSE
"YDL174C",TRUE
"YDL178W",TRUE
"YEL071W",TRUE
"YER166W",FALSE
"YLL001W",FALSE
"YKL213C",TRUE
"YDR141C",FALSE
"YIL010W",FALSE
"YIL103W",TRUE
"YLR172C",FALSE
"YDR294C",FALSE
"YPR183W",FALSE
"YDR284C",TRUE
"YLL018C",TRUE
"YLL008W",FALSE
"YAL026C",FALSE
"YGL196W",FALSE
"YNR067C",TRUE
"YMR276W",FALSE
"YNL258C",TRUE
"YGL043W",TRUE
"YDL219W",FALSE
"YOL087C",FALSE
"YFR044C",FALSE
"YBR281C",FALSE
"YBR208C",FALSE
"YLR401C",FALSE
"YBR252W",TRUE
"YDR424C",FALSE
"YHR068W",TRUE
"YPR023C",FALSE
"YKL204W",TRUE
"YKL172W",FALSE
"YEL030W",TRUE
"YHR132C",FALSE
"YMR128W",FALSE
"YLR390W",TRUE
"YBL101C",TRUE
"YJL201W",FALSE
"YHL030W",FALSE
"YBR078W",FALSE
"YLR299W",FALSE
"YKR076W",TRUE
"YEL015W",FALSE
"YBL047C",FALSE
"YAL003W",TRUE
"YIL064W",FALSE
"YGR001C",FALSE
"YOR133W",TRUE
"YPL037C",FALSE
"YHR193C",FALSE
"YIR007W",FALSE
"YCR075W-A",FALSE
"YDR036C",FALSE
"YBR177C",FALSE
"YMR031C",TRUE
"YKL160W",FALSE
"YJL196C",FALSE
"YCR034W",TRUE
"YLR372W",FALSE
"YGR200C",FALSE
"YPL086C",TRUE
"YCL045C",FALSE
"YJR088C",TRUE
"YGL231C",TRUE
"YIL027C",FALSE
"YLR186W",TRUE
"YDR516C",TRUE
"YGL200C",FALSE
"YLR080W",FALSE
"YFL048C",FALSE
"YLR083C",FALSE
"YNL313C",FALSE
"YNL084C",FALSE
"YGR254W",TRUE
"YHR174W",TRUE
"YBR247C",TRUE
"YDL161W",FALSE
"YLR206W",TRUE
"YJR125C",FALSE
"YLL038C",TRUE
"YDR153C",TRUE
"YIL005W",FALSE
"YMR049C",TRUE
"YGR175C",FALSE
"YPL028W",TRUE
"YHR007C",TRUE
"YMR208W",FALSE
"YML126C",FALSE
"YMR202W",TRUE
"YJL167W",FALSE
"YNL280C",FALSE
"YGR060W",FALSE
"YGL001C",TRUE
"YLR100W",TRUE
"YER044C",FALSE
"YMR134W",FALSE
"YLR056W",TRUE
"YGL012W",FALSE
"YMR015C",TRUE
"YML008C",TRUE
"YHR190W",FALSE
"YFR041C",TRUE
"YML130C",TRUE
"YAR002C-A",FALSE
"YAL007C",FALSE
"YMR323W",FALSE
"YGR029W",FALSE
"YGL054C",TRUE
"YPR037C",TRUE
"YML012W",TRUE
"YGR284C",FALSE
"YAL042W",FALSE
"YMR219W",TRUE
"YDR365C",FALSE
"YNR054C",FALSE
"YJR017C",FALSE
"YBR026C",TRUE
"YOR051C",FALSE
"YDR518W",TRUE
"YLR300W",TRUE
"YDR261C",TRUE
"YOR317W",FALSE
"YIL009W",FALSE
"YMR246W",TRUE
"YDL166C",TRUE
"YMR029C",TRUE
"YKL182W",TRUE
"YPL231W",TRUE
"YBR041W",FALSE
"YKL060C",TRUE
"YJL155C",TRUE
"YPR062W",TRUE
"YDR539W",TRUE
"YBR101C",FALSE
"YMR058W",FALSE
"YFL041W",FALSE
"YIL065C",FALSE
"YLR342W",TRUE
"YMR306W",TRUE
"YAL053W",TRUE
"YGL139W",TRUE
"YDR236C",FALSE
"YHR176W",TRUE
"YDR070C",TRUE
"YPL222W",TRUE
"YNL168C",TRUE
"YMR221C",FALSE
"YDL222C",TRUE
"YKR049C",TRUE
"YER004W",FALSE
"YNL256W",FALSE
"YGR267C",TRUE
"YNL135C",TRUE
"YDR519W",TRUE
"YML074C",TRUE
"YLR449W",FALSE
"YLL029W",TRUE
"YEL047C",FALSE
"YLR060W",FALSE
"YFL022C",FALSE
"YOR271C",FALSE
"YHR049W",TRUE
"YOR280C",FALSE
"YER145C",TRUE
"YPL262W",FALSE
"YAL035W",TRUE
"YHR128W",TRUE
"YBL016W",FALSE
"YLR088W",FALSE
"YLR459W",TRUE
"YMR250W",TRUE
"YLR081W",FALSE
"YER027C",FALSE
"YKR039W",TRUE
"YHR089C",FALSE
"YMR307W",TRUE
"YMR215W",FALSE
"YOL030W",TRUE
"YFL021W",FALSE
"YCL011C",TRUE
"YER025W",FALSE
"YGR083C",FALSE
"YDR211W",FALSE
"YLR291C",FALSE
"YER163C",FALSE
"YGL195W",FALSE
"YFR009W",FALSE
"YKR026C",FALSE
"YDL226C",TRUE
"YDR019C",TRUE
"YMR189W",TRUE
"YAL044C",FALSE
"YOR120W",TRUE
"YEL042W",FALSE
"YPR184W",TRUE
"YOR375C",TRUE
"YDL215C",FALSE
"YAL062W",FALSE
"YER136W",FALSE
"YJR031C",FALSE
"YEL022W",FALSE
"YJR040W",FALSE
"YGL020C",FALSE
"YER083C",FALSE
"YDL100C",FALSE
"YOR164C",FALSE
"YKL104C",FALSE
"YDR358W",TRUE
"YHR108W",FALSE
"YDL198C",TRUE
"YCL039W",TRUE
"YNL153C",FALSE
"YEL003W",FALSE
"YML094W",FALSE
"YER054C",FALSE
"YPL137C",FALSE
"YDR152W",FALSE
"YDR096W",FALSE
"YNL255C",TRUE
"YEL011W",TRUE
"YER133W",FALSE
"YMR311C",FALSE
"YCL040W",TRUE
