"Condition.or.Strain","Position","Plate","Plate_Position"
"Empty","H7",8,"8_H7"
"Cu_0+DMSO","A8",8,"8_A8"
"AllEle","B8",8,"8_B8"
"Fe_0+DfP_200uM","C8",8,"8_C8"
"Fe_0+DfP_300uM","D8",8,"8_D8"
"Fe_0+DfP_400uM","E8",8,"8_E8"
"Cu_0+NeC_500uM","F8",8,"8_F8"
"Cu_0+NeC_750uM","G8",8,"8_G8"
"Empty","H8",8,"8_H8"
"Empty","A9",8,"8_A9"
"Cu_0+NeC_1000uM","B9",8,"8_B9"
"Cu_0+NeC_2000uM","C9",8,"8_C9"
"Cu_0+BCS_100uM","D9",8,"8_D9"
"Cu_0+BCS_200uM","E9",8,"8_E9"
"Cu_0+BCS_300uM","F9",8,"8_F9"
"Cu_0+BCS_400uM","G9",8,"8_G9"
"Empty","H9",8,"8_H9"
"Empty","A10",8,"8_A10"
"Cu_0+BCS_500uM","B10",8,"8_B10"
"Ca_0+EGTA_2.5mM","C10",8,"8_C10"
"Ca_0+EGTA_5mM","D10",8,"8_D10"
"Ca_0+EGTA_10mM","E10",8,"8_E10"
"AllEle","F10",8,"8_F10"
"Ca_0+EGTA_15mM","G10",8,"8_G10"
"Empty","H10",8,"8_H10"
"Empty","A11",8,"8_A11"
"Ca_0+EGTA_25mM","B11",8,"8_B11"
"Cu_0+DMSO_1.28","C11",8,"8_C11"
"Cu_0+DMSO_1.29","D11",8,"8_D11"
"Cu_0+DMSO_1.30","E11",8,"8_E11"
"Cu_0+DMSO_1.31","F11",8,"8_F11"
"Cu_0+DMSO_1.32","G11",8,"8_G11"
"Empty","H11",8,"8_H11"
"Empty","A12",8,"8_A12"
"Empty","B12",8,"8_B12"
"Empty","C12",8,"8_C12"
"Empty","D12",8,"8_D12"
"Empty","E12",8,"8_E12"
"Empty","F12",8,"8_F12"
"Empty","G12",8,"8_G12"
"Empty","H12",8,"8_H12"
