"","ORF","OEgenename","metal","zscore_OEmetallomics"
"12181","YDL118W","YDL118W","Cd",2.355758396
"12182","YDL119C","HEM25","Cd",0.11385937
"12183","YDL120W","YFH1","Cd",-0.585189096
"12184","YDL122W","UBP1","Cd",1.009508507
"12185","YDL123W","SNA4","Cd",-0.173577625
"12186","YDL124W","YDL124W","Cd",0.702247311
"12187","YDL125C","HNT1","Cd",-0.793021903
"12188","YDL126C","CDC48","Cd",0.735871983
"12189","YDL128W","VCX1","Cd",-0.07344139
"12190","YDL129W","YDL129W","Cd",0.46714655
"12191","YDL130W-A","STF1","Cd",0.202190774
"12192","YDL131W","LYS21","Cd",0.266511674
"12193","YDL132W","CDC53","Cd",0.605183178
"12194","YDL133C-A","RPL41B","Cd",-0.666333628
"12195","YDL133W","SRF1","Cd",-0.071927901
"12196","YDL134C","PPH21","Cd",4.212733999
"12197","YDL135C","RDI1","Cd",0.037616355
"12198","YDL136W","RPL35B","Cd",-0.542827276
"12199","YDL137W","ARF2","Cd",-0.190861073
"12200","YDL138W","RGT2","Cd",-0.390147287
"12201","YDL139C","SCM3","Cd",-0.745051984
"12202","YDL140C","RPO21","Cd",-1.71857411
"12203","YDL141W","BPL1","Cd",-0.104883955
"12204","YDL142C","CRD1","Cd",0.175235147
"12205","YDL144C","YDL144C","Cd",0.221642416
"12206","YDL145C","COP1","Cd",-2.692317625
"12207","YDL146W","LDB17","Cd",0.513693666
"12208","YDL147W","RPN5","Cd",0.262826436
"12209","YDL148C","NOP14","Cd",-1.324779958
"12210","YDL149W","ATG9","Cd",-0.1611061
"12211","YDL150W","RPC53","Cd",0.933620884
"12212","YDL151C","BUD30","Cd",0.331700573
"12213","YDL152W","YDL152W","Cd",-0.159957991
"12214","YDL153C","SAS10","Cd",-0.905053022
"12215","YDL154W","MSH5","Cd",-0.383057117
"12216","YDL155W","CLB3","Cd",-0.004235689
"12217","YDL156W","CMR1","Cd",0.802538109
"12218","YDL157C","YDL157C","Cd",-0.35025758
"12219","YDL158C","YDL158C","Cd",0.241746365
"12220","YDL159C-B","YDL159C-B","Cd",0.522741779
"12221","YDL159W","STE7","Cd",0.288291952
"12222","YDL159W-A","YDL159W-A","Cd",0.061633224
"12223","YDL160C","DHH1","Cd",0.071504796
"12224","YDL161W","ENT1","Cd",1.1836541
"12225","YDL163W","YDL163W","Cd",0.375797418
"12226","YDL164C","CDC9","Cd",-0.272834992
"12227","YDL165W","CDC36","Cd",0.140973628
"12228","YDL166C","FAP7","Cd",-0.105200343
"12229","YDL167C","NRP1","Cd",-0.010432688
"12230","YDL168W","SFA1","Cd",0.53895037
"12231","YDL169C","UGX2","Cd",-0.212581348
"12232","YDL170W","UGA3","Cd",0.734557427
"12233","YDL172C","YDL172C","Cd",4.002559902
"12234","YDL173W","PAR32","Cd",0.21521998
"12235","YDL175C","AIR2","Cd",-0.268678882
"12236","YDL176W","YDL176W","Cd",-2.249356707
"12237","YDL177C","YDL177C","Cd",-1.003391438
"12238","YDL179W","PCL9","Cd",-0.08512245
"12239","YDL180W","YDL180W","Cd",0.264646708
"12240","YDL181W","INH1","Cd",-0.1467247
"12241","YDL182W","LYS20","Cd",-0.29678369
"12242","YDL183C","YDL183C","Cd",-2.262388631
"12243","YDL184C","RPL41A","Cd",0.819218528
"12244","YDL185C-A","YDL185C-A","Cd",-0.93453289
"12245","YDL185W","VMA1","Cd",0.279076917
"12246","YDL186W","YDL186W","Cd",0.775745249
"12247","YDL187C","YDL187C","Cd",0.533228507
"12248","YDL188C","PPH22","Cd",-0.296582846
"12249","YDL189W","RBS1","Cd",-0.366544379
"12250","YDL190C","UFD2","Cd",-0.158004563
"12251","YDL191W","RPL35A","Cd",-0.86487645
"12252","YDL192W","ARF1","Cd",0.533230817
"12253","YDL193W","NUS1","Cd",-0.05074372
"12254","YDL194W","SNF3","Cd",-0.587163479
"12255","YDL195W","SEC31","Cd",0.329198694
"12256","YDL196W","YDL196W","Cd",-1.657391603
"12257","YDL197C","ASF2","Cd",0.433637314
"12258","YDL198C","GGC1","Cd",-0.165265661
"12259","YDL199C","YDL199C","Cd",0.198103068
"12260","YDL200C","MGT1","Cd",-0.238229126
"12261","YDL201W","TRM8","Cd",-0.50952734
"12262","YDL202W","MRPL11","Cd",0.568249446
"12263","YDL204W","RTN2","Cd",-0.139378502
"12264","YDL205C","HEM3","Cd",0.463170507
"12265","YDL206W","YDL206W","Cd",-0.273090116
"12266","YDL207W","GLE1","Cd",-0.493145355
"12267","YDL208W","NHP2","Cd",-0.71721571
"12268","YDL209C","CWC2","Cd",0.088793662
"12269","YDL210W","UGA4","Cd",0.080652184
"12270","YDL211C","YDL211C","Cd",0.14132923
"12271","YDL212W","SHR3","Cd",0.661107186
"12272","YDL214C","PRR2","Cd",0.240907092
"12273","YDL215C","GDH2","Cd",0.105412178
"12274","YDL216C","RRI1","Cd",0.455050013
"12275","YDL217C","TIM22","Cd",-0.453451794
"12276","YDL218W","YDL218W","Cd",-0.403553923
"12277","YDL219W","DTD1","Cd",0.254791133
"12278","YDL220C","CDC13","Cd",0.794607218
"12279","YDL221W","YDL221W","Cd",0.08772931
"12280","YDL222C","FMP45","Cd",-0.333083767
"12281","YDL223C","HBT1","Cd",-0.200653287
"12282","YDL224C","WHI4","Cd",1.199259912
"12283","YDL225W","SHS1","Cd",0.707196888
"12284","YDL226C","GCS1","Cd",-0.502547163
"12285","YDL228C","YDL228C","Cd",0.565531405
"12286","YDL230W","PTP1","Cd",-0.269008166
"12287","YDL231C","BRE4","Cd",-0.007154423
"12288","YDL232W","OST4","Cd",0.598533224
"12289","YDL233W","MFG1","Cd",0.749201203
"12290","YDL234C","GYP7","Cd",-0.155537665
"12291","YDL235C","YPD1","Cd",-0.015642231
"12292","YDL236W","PHO13","Cd",0.509295527
"12293","YDL238C","GUD1","Cd",0.528353996
"12294","YDL239C","ADY3","Cd",-0.198500311
"12295","YDL240C-A","YDL240C-A","Cd",0.318398505
"12296","YDL240W","LRG1","Cd",-0.901500342
"12297","YDL241W","YDL241W","Cd",1.124328801
"12298","YDL242W","YDL242W","Cd",0.290571623
"12299","YDL243C","AAD4","Cd",-5.910725893
"12300","YDL247W-A","YDL247W-A","Cd",0.471757676
"12301","YDL248W","COS7","Cd",0.342477659
"12302","YDR001C","NTH1","Cd",0.368345243
"12303","YDR002W","YRB1","Cd",0.27520436
"12304","YDR003W","RCR2","Cd",0.199136433
"12305","YDR004W","RAD57","Cd",0.383941532
"12306","YDR005C","MAF1","Cd",0.482063125
"12307","YDR006C","SOK1","Cd",-0.518446319
"12308","YDR007W","TRP1","Cd",0.11968125
"12309","YDR008C","YDR008C","Cd",-0.076621806
"12310","YDR009W","GAL3","Cd",0.072644358
"12311","YDR010C","YDR010C","Cd",-0.856108063
"12312","YDR012W","RPL4B","Cd",0.519194616
"12313","YDR013W","PSF1","Cd",0.488022267
"12314","YDR014W","RAD61","Cd",0.53065805
"12315","YDR016C","DAD1","Cd",0.290952627
"12316","YDR017C","KCS1","Cd",0.106331374
"12317","YDR018C","YDR018C","Cd",-0.355294619
"12318","YDR019C","GCV1","Cd",1.082725177
"12319","YDR020C","DAS2","Cd",-0.247234557
"12320","YDR021W","FAL1","Cd",-0.103121973
"12321","YDR022C","ATG31","Cd",0.435866116
"12322","YDR023W","SES1","Cd",-0.61808433
"12323","YDR024W","FYV1","Cd",-4.161584507
"12324","YDR025W","RPS11A","Cd",-0.041880174
"12325","YDR026C","NSI1","Cd",-2.940694892
"12326","YDR027C","VPS54","Cd",0.402884835
"12327","YDR028C","REG1","Cd",0.983342951
"12328","YDR029W","YDR029W","Cd",-0.191644811
"12329","YDR030C","RAD28","Cd",-1.154134123
"12330","YDR032C","PST2","Cd",0.042699745
"12331","YDR033W","MRH1","Cd",-0.031387605
"12332","YDR034C","LYS14","Cd",0.284265428
"12333","YDR034C-A","YDR034C-A","Cd",-0.698731523
"12334","YDR034W-B","YDR034W-B","Cd",-1.339231304
"12335","YDR035W","ARO3","Cd",-0.390702007
"12336","YDR036C","EHD3","Cd",-0.108672434
"12337","YDR037W","KRS1","Cd",0.32305319
"12338","YDR038C","ENA5","Cd",0.593265389
"12339","YDR040C","ENA1","Cd",0.355895243
"12340","YDR041W","RSM10","Cd",-0.480893759
"12341","YDR042C","YDR042C","Cd",-0.137995388
"12342","YDR043C","NRG1","Cd",-0.049961865
"12343","YDR044W","HEM13","Cd",0.415477178
"12344","YDR045C","RPC11","Cd",-4.356247435
"12345","YDR046C","BAP3","Cd",0.456459136
"12346","YDR047W","HEM12","Cd",-2.981234326
"12347","YDR048C","YDR048C","Cd",0.774351778
"12348","YDR049W","VMS1","Cd",0.994879986
"12349","YDR050C","TPI1","Cd",-5.537133604
"12350","YDR051C","DET1","Cd",-0.201237459
"12351","YDR052C","DBF4","Cd",-0.085506332
"12352","YDR053W","YDR053W","Cd",-1.250420595
"12353","YDR054C","CDC34","Cd",0.164187731
"12354","YDR055W","PST1","Cd",-0.450973332
"12355","YDR056C","EMC10","Cd",0.48048695
"12356","YDR057W","YOS9","Cd",0.24983949
"12357","YDR058C","TGL2","Cd",-4.698916976
"12358","YDR059C","UBC5","Cd",-0.20720168
"12359","YDR060W","MAK21","Cd",-0.133969521
"12360","YDR062W","LCB2","Cd",0.308153337
"12361","YDR063W","AIM7","Cd",-0.59614807
"12362","YDR064W","RPS13","Cd",1.142034015
"12363","YDR065W","RRG1","Cd",-0.038055716
"12364","YDR066C","RTR2","Cd",-0.269074649
"12365","YDR067C","OCA6","Cd",0.179531269
"12366","YDR068W","DOS2","Cd",0.747804842
"12367","YDR069C","DOA4","Cd",0.093419827
"12368","YDR070C","FMP16","Cd",-0.113090444
"12369","YDR071C","PAA1","Cd",1.049970119
"12370","YDR072C","IPT1","Cd",-0.046426278
"12371","YDR073W","SNF11","Cd",-0.025488235
"12372","YDR074W","TPS2","Cd",-0.034785911
"12373","YDR075W","PPH3","Cd",0.79734413
"12374","YDR076W","RAD55","Cd",-0.337085548
"12375","YDR077W","SED1","Cd",-0.006624945
"12376","YDR078C","SHU2","Cd",0.071432577
"12377","YDR079C-A","TFB5","Cd",-0.057480655
"12378","YDR080W","VPS41","Cd",-0.00637754
"12379","YDR081C","PDC2","Cd",0.437261454
"12380","YDR082W","STN1","Cd",-0.607602382
"12381","YDR083W","RRP8","Cd",0.957044986
"12382","YDR084C","TVP23","Cd",-0.292994376
"12383","YDR085C","AFR1","Cd",-0.259791245
"12384","YDR086C","SSS1","Cd",0.3594128
"12385","YDR087C","RRP1","Cd",0.41512941
"12386","YDR088C","SLU7","Cd",-0.500680021
"12387","YDR089W","VTC5","Cd",0.078267075
"12388","YDR090C","YDR090C","Cd",-0.789685663
"12389","YDR091C","RLI1","Cd",0.31888253
"12390","YDR092W","UBC13","Cd",-0.220553247
"12391","YDR094W","YDR094W","Cd",-1.542172405
"12392","YDR095C","YDR095C","Cd",0.792826233
"12393","YDR096W","GIS1","Cd",0.155035161
"12394","YDR097C","MSH6","Cd",0.606014592
"12395","YDR098C","GRX3","Cd",-0.148477101
"12396","YDR099W","BMH2","Cd",0.78793467
"12397","YDR100W","TVP15","Cd",-0.018247459
"12398","YDR101C","ARX1","Cd",0.518288171
"12399","YDR102C","YDR102C","Cd",0.239680402
"12400","YDR103W","STE5","Cd",0.633601193
"12401","YDR105C","TMS1","Cd",0.003308097
"12402","YDR106W","ARP10","Cd",-0.262309628
"12403","YDR107C","TMN2","Cd",0.270109993
"12404","YDR108W","TRS85","Cd",-0.190766621
"12405","YDR109C","YDR109C","Cd",0.293031
"12406","YDR110W","FOB1","Cd",0.255260723
"12407","YDR111C","ALT2","Cd",0.121082819
"12408","YDR112W","IRC2","Cd",0.210766778
"12409","YDR113C","PDS1","Cd",1.144356736
"12410","YDR114C","YDR114C","Cd",-0.568445811
"12411","YDR115W","YDR115W","Cd",0.71784168
"12412","YDR116C","MRPL1","Cd",0.779004779
"12413","YDR117C","TMA64","Cd",0.18564796
"12414","YDR118W","APC4","Cd",0.577969455
"12415","YDR120C","TRM1","Cd",0.188019979
"12416","YDR121W","DPB4","Cd",0.832596444
"12417","YDR122W","KIN1","Cd",-1.44517149
"12418","YDR123C","INO2","Cd",0.491510284
"12419","YDR124W","YDR124W","Cd",-0.731399113
"12420","YDR125C","ECM18","Cd",0.326341954
"12421","YDR126W","SWF1","Cd",-1.061694953
"12422","YDR127W","ARO1","Cd",0.1145792
"12423","YDR128W","MTC5","Cd",0.665190115
"12424","YDR130C","FIN1","Cd",0.741827751
"12425","YDR131C","YDR131C","Cd",0.288699449
"12426","YDR132C","YDR132C","Cd",-0.569795615
"12427","YDR133C","YDR133C","Cd",1.539494199
"12428","YDR134C","CCW22","Cd",-0.846161359
"12429","YDR135C","YCF1","Cd",0.170013632
"12430","YDR136C","VPS61","Cd",0.615365645
"12431","YDR137W","RGP1","Cd",-0.135000409
"12432","YDR138W","HPR1","Cd",0.022015936
"12433","YDR139C","RUB1","Cd",0.604671475
"12434","YDR140W","MTQ2","Cd",0.060462435
"12435","YDR141C","DOP1","Cd",0.441160726
"12436","YDR142C","PEX7","Cd",-0.049582266
"12437","YDR143C","SAN1","Cd",-1.252271336
"12438","YDR144C","MKC7","Cd",-0.8000347
"12439","YDR145W","TAF12","Cd",-0.022693585
"12440","YDR146C","SWI5","Cd",3.56318051
"12441","YDR147W","EKI1","Cd",0.675287777
"12442","YDR148C","KGD2","Cd",0.096133771
"12443","YDR149C","YDR149C","Cd",-7.436955373
"12444","YDR150W","NUM1","Cd",0.535988199
"12445","YDR151C","CTH1","Cd",-0.510484672
"12446","YDR152W","GIR2","Cd",0.315746885
"12447","YDR153C","ENT5","Cd",-0.088418923
"12448","YDR154C","YDR154C","Cd",0.51421862
"12449","YDR155C","CPR1","Cd",-1.498607732
"12450","YDR156W","RPA14","Cd",-0.318998796
"12451","YDR157W","YDR157W","Cd",-0.466132286
"12452","YDR158W","HOM2","Cd",1.943990663
"12453","YDR159W","SAC3","Cd",0.454895414
"12454","YDR160W","SSY1","Cd",0.596183087
"12455","YDR161W","ACL4","Cd",-0.235917844
"12456","YDR162C","NBP2","Cd",0.065539999
"12457","YDR163W","CWC15","Cd",-0.594286712
"12458","YDR164C","SEC1","Cd",-0.687958164
"12459","YDR165W","TRM82","Cd",0.513434034
"12460","YDR166C","SEC5","Cd",0.174810424
"12461","YDR167W","TAF10","Cd",-0.837866413
"12462","YDR168W","CDC37","Cd",0.48728089
"12463","YDR169C","STB3","Cd",-3.606190569
"12464","YDR170C","SEC7","Cd",-0.440145233
"12465","YDR171W","HSP42","Cd",-0.569337035
"12466","YDR172W","SUP35","Cd",-0.58040086
"12467","YDR173C","ARG82","Cd",1.301332399
"12468","YDR174W","HMO1","Cd",-0.009770119
"12469","YDR175C","RSM24","Cd",0.502697649
"12470","YDR176W","NGG1","Cd",-0.004970243
"12471","YDR177W","UBC1","Cd",-5.385807994
"12472","YDR178W","SDH4","Cd",-1.024866174
"12473","YDR179C","CSN9","Cd",0.247234868
"12474","YDR179W-A","YDR179W-A","Cd",-0.262749747
"12475","YDR181C","SAS4","Cd",0.396424818
"12476","YDR182W","CDC1","Cd",1.253918969
"12477","YDR184C","ATC1","Cd",0.126190316
"12478","YDR185C","UPS3","Cd",0.363729609
"12479","YDR186C","SND1","Cd",-0.564285059
"12480","YDR187C","YDR187C","Cd",-0.075456038
"12481","YDR188W","CCT6","Cd",0.406163096
"12482","YDR189W","SLY1","Cd",0.592114264
"12483","YDR191W","HST4","Cd",0.066318242
"12484","YDR192C","NUP42","Cd",0.0676501
"12485","YDR193W","YDR193W","Cd",0.031349091
"12486","YDR194C","MSS116","Cd",-0.394747601
"12487","YDR195W","REF2","Cd",-4.553459103
"12488","YDR196C","CAB5","Cd",1.622842668
"12489","YDR197W","CBS2","Cd",0.578035887
"12490","YDR198C","RKM2","Cd",0.617273552
"12491","YDR199W","YDR199W","Cd",-0.2698296
"12492","YDR200C","VPS64","Cd",-1.190596905
"12493","YDR201W","SPC19","Cd",-0.260913407
"12494","YDR202C","RAV2","Cd",0.710997801
"12495","YDR203W","YDR203W","Cd",-0.474872534
"12496","YDR204W","COQ4","Cd",0.290282749
"12497","YDR205W","MSC2","Cd",0.394547649
"12498","YDR206W","EBS1","Cd",1.290541384
"12499","YDR207C","UME6","Cd",-0.772128812
"12500","YDR208W","MSS4","Cd",0.149602496
"12501","YDR209C","YDR209C","Cd",-0.683747417
"12502","YDR210W","YDR210W","Cd",-0.279245466
"12503","YDR211W","GCD6","Cd",-0.895364042
"12504","YDR212W","TCP1","Cd",-0.016418165
"12505","YDR214W","AHA1","Cd",-0.494623969
"12506","YDR216W","ADR1","Cd",-0.162814655
"12507","YDR217C","RAD9","Cd",0.045801397
"12508","YDR218C","SPR28","Cd",-1.856854089
"12509","YDR219C","MFB1","Cd",0.474800253
"12510","YDR220C","YDR220C","Cd",-0.022691339
"12511","YDR221W","GTB1","Cd",5.592523302
"12512","YDR222W","YDR222W","Cd",-5.113336655
"12513","YDR223W","CRF1","Cd",0.146155249
"12514","YDR224C","HTB1","Cd",0.503900707
"12515","YDR225W","HTA1","Cd",-0.446477467
"12516","YDR226W","ADK1","Cd",0.315750469
"12517","YDR227W","SIR4","Cd",-0.645313242
"12518","YDR228C","PCF11","Cd",-1.302383835
"12519","YDR229W","IVY1","Cd",-0.298779164
"12520","YDR230W","YDR230W","Cd",0.83197862
"12521","YDR231C","COX20","Cd",0.516956841
"12522","YDR232W","HEM1","Cd",0.009326671
"12523","YDR233C","RTN1","Cd",0.293849273
"12524","YDR234W","LYS4","Cd",0.523488126
"12525","YDR235W","PRP42","Cd",0.218504355
"12526","YDR236C","FMN1","Cd",0.31177486
"12527","YDR237W","MRPL7","Cd",-0.184342761
"12528","YDR238C","SEC26","Cd",0.144568813
"12529","YDR239C","YDR239C","Cd",-0.348809467
"12530","YDR240C","SNU56","Cd",-0.39080474
"12531","YDR241W","BUD26","Cd",-0.017365136
"12532","YDR242W","AMD2","Cd",-0.837196956
"12533","YDR243C","PRP28","Cd",1.462653221
"12534","YDR244W","PEX5","Cd",1.490828191
"12535","YDR245W","MNN10","Cd",0.232090831
"12536","YDR246W","TRS23","Cd",1.018878966
"12537","YDR247W","VHS1","Cd",1.185009234
"12538","YDR248C","YDR248C","Cd",-0.161550167
"12539","YDR249C","YDR249C","Cd",-1.386090585
"12540","YDR250C","YDR250C","Cd",-0.201176441
"12541","YDR251W","PAM1","Cd",0.359264712
"12542","YDR252W","BTT1","Cd",-0.523606456
"12543","YDR253C","MET32","Cd",-0.976129138
"12544","YDR254W","CHL4","Cd",0.674620752
"12545","YDR255C","RMD5","Cd",0.638244728
"12546","YDR256C","CTA1","Cd",0.647355261
"12547","YDR257C","RKM4","Cd",0.903810808
"12548","YDR259C","YAP6","Cd",-0.400050867
"12549","YDR261C","EXG2","Cd",0.209486726
"12550","YDR262W","YDR262W","Cd",-0.198746769
"12551","YDR263C","DIN7","Cd",1.657391142
"12552","YDR264C","AKR1","Cd",1.297659615
"12553","YDR265W","PEX10","Cd",0.181856863
"12554","YDR266C","HEL2","Cd",0.110795781
"12555","YDR268W","MSW1","Cd",-0.296806761
"12556","YDR269C","YDR269C","Cd",-0.31442634
"12557","YDR270W","CCC2","Cd",-0.433040988
"12558","YDR271C","YDR271C","Cd",0.811994598
"12559","YDR272W","GLO2","Cd",-3.09e-16
"12560","YDR273W","DON1","Cd",0.010623623
"12561","YDR274C","YDR274C","Cd",0.509319232
"12562","YDR275W","BSC2","Cd",0.625665039
"12563","YDR276C","PMP3","Cd",0.583061486
"12564","YDR277C","MTH1","Cd",-1.530503922
"12565","YDR278C","YDR278C","Cd",-0.136957614
"12566","YDR279W","RNH202","Cd",-0.392505376
"12567","YDR281C","PHM6","Cd",-2.669140989
"12568","YDR282C","MRX10","Cd",0.381708664
"12569","YDR283C","GCN2","Cd",-0.740202598
"12570","YDR284C","DPP1","Cd",0.503137418
"12571","YDR285W","ZIP1","Cd",4.78e-05
"12572","YDR286C","YDR286C","Cd",0.496134329
"12573","YDR287W","INM2","Cd",-0.075322452
"12574","YDR288W","NSE3","Cd",-1.95706245
"12575","YDR289C","RTT103","Cd",0.247280474
"12576","YDR290W","YDR290W","Cd",0.12610173
"12577","YDR291W","HRQ1","Cd",-0.419790516
"12578","YDR292C","SRP101","Cd",-0.163746423
"12579","YDR294C","DPL1","Cd",-0.57999071
"12580","YDR295C","HDA2","Cd",-0.633486429
"12581","YDR296W","MHR1","Cd",0.150499401
"12582","YDR297W","SUR2","Cd",-0.137629426
"12583","YDR298C","ATP5","Cd",0.125320579
"12584","YDR299W","BFR2","Cd",0.024640831
"12585","YDR300C","PRO1","Cd",-0.060047963
"12586","YDR301W","CFT1","Cd",-0.331930628
"12587","YDR303C","RSC3","Cd",1.307235977
"12588","YDR304C","CPR5","Cd",-4.646928505
"12589","YDR306C","YDR306C","Cd",-1.048111958
"12590","YDR307W","PMT7","Cd",0.135048748
"12591","YDR308C","SRB7","Cd",0.077445893
"12592","YDR309C","GIC2","Cd",-0.38175875
"12593","YDR310C","SUM1","Cd",-1.171999628
"12594","YDR311W","TFB1","Cd",1.85553248
"12595","YDR312W","SSF2","Cd",0.348732081
"12596","YDR313C","PIB1","Cd",1.117408927
"12597","YDR314C","RAD34","Cd",-0.583905261
"12598","YDR315C","IPK1","Cd",0.189284463
"12599","YDR316W","OMS1","Cd",-1.153557618
"12600","YDR317W","HIM1","Cd",0.085829304
"12601","YDR318W","MCM21","Cd",-0.668335657
"12602","YDR319C","YFT2","Cd",0.172156637
"12603","YDR320C","SWA2","Cd",-1.604090359
"12604","YDR321W","ASP1","Cd",-0.220640632
"12605","YDR322C-A","TIM11","Cd",-0.436902775
"12606","YDR322W","MRPL35","Cd",0.318144446
"12607","YDR323C","PEP7","Cd",-0.06685784
"12608","YDR324C","UTP4","Cd",-0.72651464
"12609","YDR326C","YSP2","Cd",-0.292640151
"12610","YDR327W","YDR327W","Cd",-3.46918484
"12611","YDR328C","SKP1","Cd",0.274722712
"12612","YDR329C","PEX3","Cd",-0.29437359
"12613","YDR330W","UBX5","Cd",-0.727473028
"12614","YDR331W","GPI8","Cd",-0.342434847
"12615","YDR332W","IRC3","Cd",-0.180075256
"12616","YDR333C","RQC1","Cd",-2.030492311
"12617","YDR335W","MSN5","Cd",-0.698070041
"12618","YDR336W","MRX8","Cd",0.216620301
"12619","YDR337W","MRPS28","Cd",-0.469597457
"12620","YDR338C","YDR338C","Cd",-0.013214202
"12621","YDR339C","FCF1","Cd",-1.174195163
"12622","YDR341C","YDR341C","Cd",-0.024504517
"12623","YDR344C","YDR344C","Cd",0.30975523
"12624","YDR345C","HXT3","Cd",1.495890755
"12625","YDR346C","SVF1","Cd",0.191401032
"12626","YDR347W","MRP1","Cd",-0.849262913
"12627","YDR348C","PAL1","Cd",-0.30210627
"12628","YDR351W","SBE2","Cd",0.742788048
"12629","YDR352W","YPQ2","Cd",-1.718533763
"12630","YDR353W","TRR1","Cd",-0.194267727
"12631","YDR354C-A","YDR354C-A","Cd",0.060231863
"12632","YDR354W","TRP4","Cd",-0.415440998
"12633","YDR355C","YDR355C","Cd",-0.643700333
"12634","YDR356W","SPC110","Cd",-2.837511125
"12635","YDR357C","CNL1","Cd",1.539065786
"12636","YDR358W","GGA1","Cd",-0.098503687
"12637","YDR361C","BCP1","Cd",0.562182131
"12638","YDR362C","TFC6","Cd",0.706974488
"12639","YDR363W","ESC2","Cd",0.161845647
"12640","YDR363W-A","SEM1","Cd",-0.396199964
"12641","YDR364C","CDC40","Cd",-0.493021242
"12642","YDR366C","YDR366C","Cd",0.061318035
"12643","YDR367W","KEI1","Cd",0.833022269
"12644","YDR368W","YPR1","Cd",-1.519753369
"12645","YDR369C","XRS2","Cd",1.111473849
"12646","YDR370C","DXO1","Cd",-0.033618513
"12647","YDR371W","CTS2","Cd",0.17542276
"12648","YDR372C","VPS74","Cd",0.342165394
"12649","YDR373W","FRQ1","Cd",-0.453615256
"12650","YDR374C","PHO92","Cd",0.662308779
"12651","YDR375C","BCS1","Cd",0.210636514
"12652","YDR376W","ARH1","Cd",-1.616361058
"12653","YDR377W","ATP17","Cd",0.058284596
"12654","YDR378C","LSM6","Cd",1.410977563
"12655","YDR379C-A","SDH6","Cd",0.424346447
"12656","YDR379W","RGA2","Cd",-0.474456281
"12657","YDR380W","ARO10","Cd",0.216458409
"12658","YDR381C-A","YDR381C-A","Cd",0.529604033
"12659","YDR382W","RPP2B","Cd",-0.360640497
"12660","YDR383C","NKP1","Cd",-1.207737112
"12661","YDR384C","ATO3","Cd",-0.550717933
"12662","YDR386W","MUS81","Cd",-0.208088304
"12663","YDR387C","YDR387C","Cd",-0.835629596
"12664","YDR388W","RVS167","Cd",2.824522829
"12665","YDR389W","SAC7","Cd",-0.079529017
"12666","YDR390C","UBA2","Cd",1.079923415
"12667","YDR391C","YDR391C","Cd",0.197111736
"12668","YDR392W","SPT3","Cd",0.330169412
"12669","YDR393W","SHE9","Cd",-0.401543867
"12670","YDR394W","RPT3","Cd",1.270750541
"12671","YDR395W","SXM1","Cd",0.096631465
"12672","YDR396W","YDR396W","Cd",0.358327253
"12673","YDR397C","NCB2","Cd",0.132414237
"12674","YDR398W","UTP5","Cd",0.38111683
"12675","YDR399W","HPT1","Cd",0.28114498
"12676","YDR400W","URH1","Cd",0.246313742
"12677","YDR401W","YDR401W","Cd",-0.523426275
"12678","YDR402C","DIT2","Cd",-0.104984596
"12679","YDR403W","DIT1","Cd",0.30588384
"12680","YDR404C","RPB7","Cd",0.149923039
"12681","YDR405W","MRP20","Cd",-1.710700356
"12682","YDR406W","PDR15","Cd",-0.391358251
"12683","YDR407C","TRS120","Cd",-2.084112013
"12684","YDR408C","ADE8","Cd",-0.836528396
"12685","YDR410C","STE14","Cd",-0.113301368
"12686","YDR411C","DFM1","Cd",0.21964729
"12687","YDR412W","RRP17","Cd",0.839569889
"12688","YDR413C","YDR413C","Cd",0.990225174
"12689","YDR414C","ERD1","Cd",-0.638840005
"12690","YDR415C","YDR415C","Cd",0.015517536
"12691","YDR416W","SYF1","Cd",1.458634793
"12692","YDR417C","YDR417C","Cd",0.052466593
"12693","YDR418W","RPL12B","Cd",-0.051687724
"12694","YDR421W","ARO80","Cd",-0.396604823
"12695","YDR422C","SIP1","Cd",0.679505187
"12696","YDR423C","CAD1","Cd",0.005811734
"12697","YDR424C","DYN2","Cd",0.306588728
"12698","YDR425W","SNX41","Cd",-0.815535441
"12699","YDR427W","RPN9","Cd",-0.179598276
"12700","YDR428C","BNA7","Cd",2.516867704
"12701","YDR429C","TIF35","Cd",-0.141293054
"12702","YDR430C","CYM1","Cd",1.275258219
"12703","YDR431W","YDR431W","Cd",0.201257824
"12704","YDR432W","NPL3","Cd",-0.657649604
"12705","YDR433W","YDR433W","Cd",-0.491327978
"12706","YDR434W","GPI17","Cd",0.077857979
"12707","YDR435C","PPM1","Cd",-0.598805328
"12708","YDR436W","PPZ2","Cd",-4.273618636
"12709","YDR437W","GPI19","Cd",0.55441367
"12710","YDR439W","LRS4","Cd",0.332234239
"12711","YDR441C","APT2","Cd",-1.263937703
"12712","YDR442W","YDR442W","Cd",0.968203889
"12713","YDR443C","SSN2","Cd",-0.102688023
"12714","YDR444W","YDR444W","Cd",-0.483558854
"12715","YDR445C","YDR445C","Cd",-0.029352979
"12716","YDR446W","ECM11","Cd",-0.330263734
"12717","YDR447C","RPS17B","Cd",0.669592002
"12718","YDR448W","ADA2","Cd",0.295293682
"12719","YDR449C","UTP6","Cd",0.827147329
"12720","YDR450W","RPS18A","Cd",-0.460027488
"12721","YDR451C","YHP1","Cd",-0.876816766
"12722","YDR452W","PPN1","Cd",4.716875134
